,PK12ed,PK12ed_real,PK12ed_realperch,highered,highered_real,highered_realperch,edsubs,edsubs_real,edsubs_realperch,edservs,edservs_real,edservs_realperch,pell,pell_real,pell_realperch,HeadStartPriv,HeadStartPriv_real,HeadStartPriv_realperch,TANFbasic,TANFbasic_real,TANFbasic_realperch,othercashserv,othercashserv_real,othercashserv_realperch,SNAP,SNAP_real,SNAP_realperch,socsec,socsec_real,socsec_realperch,fedSSI,fedSSI_real,fedSSI_realperch,fedEITC,fedEITC_real,fedEITC_realperch,CTC,CTC_real,CTC_realperch,addCC,addCC_real,addCC_realperch,stateEITC,stateEITC_real,stateEITC_realperch,unemp,unemp_real,unemp_realperch,wcomp,wcomp_real,wcomp_realperch,Medicaid_CHIP,Medicaid_CHIP_real,Medicaid_CHIP_realperch,pubhealth,pubhealth_real,pubhealth_realperch,other_health,other_health_real,other_health_realperch,HCD,HCD_real,HCD_realperch,lib,lib_real,lib_realperch,parkrec,parkrec_real,parkrec_realperch
Alabama,3504764,4936372.5,4.163139820098877,999070,1407165.125,1.1867470741271973,117044,164853.546875,0.13903091847896576,255608,360017.46875,0.30362439155578613,127968.496,180240.421875,0.152007594704628,55756.94319951534,78532.2578125,0.06623098254203796,44291.593,62383.6015625,0.05261184647679329,790461.375,1113345.125,0.9389509558677673,184018.71875,259185.765625,0.21858695149421692,280825.03083364817,395535.03125,0.333578497171402,134207.97264000002,189028.578125,0.15941917896270752,783854,1104038.75,0.9311023354530334,225024,316940.6875,0.26729515194892883,0,0,0,0.0,0.0,0.0,187881,264625.6875,0.22317476570606232,0,0.0,0.0,331288.875,466612.09375,0.3935220539569855,788014,1109898.0,0.9360437989234924,3948629.0,5561545.5,4.690385818481445,264839,373019.125,0.3145894706249237,50046,70488.5390625,0.05944722890853882,229160,322766.125,0.2722080945968628
Alaska,1019614,1436100.875,7.126733303070068,220826,311027.90625,1.5434938669204712,4345,6119.82373046875,0.03036997653543949,53779,75746.375,0.37589573860168457,10352.504,14581.2431640625,0.07236025482416153,7720.756475687027,10874.4921875,0.05396529287099838,76924.865,108346.75,0.537676990032196,184300.125,259582.125,1.2881911993026733,25768.853515625,36294.78515625,0.1801149547100067,32511.386435453183,45791.4765625,0.2272428423166275,4533.656400000001,6385.54150390625,0.031688615679740906,40245,56684.078125,0.2812980115413666,44076,62079.9453125,0.30807530879974365,0,0,0,0.0,0.0,0.0,107449,151339.234375,0.7510296702384949,2563,3609.92138671875,0.017914442345499992,135999.375,191551.71875,0.9505864381790161,162356,228674.375,1.1348097324371338,308135.625,434001.3125,2.1537563800811768,75962,106990.578125,0.5309469103813171,21730,30606.162109375,0.15188483893871307,47120,66367.34375,0.3293517529964447
Arizona,3579363,5041443.5,3.7156152725219727,912713,1285533.5,0.947456419467926,122154,172050.859375,0.126803919672966,107128,150887.109375,0.11120593547821045,114778.741,161662.984375,0.11914791166782379,44378.65779721737,62506.23046875,0.0460679791867733,144541.46,203583.03125,0.1500435769557953,688055.5625,969109.0625,0.7142471075057983,145483.421875,204909.765625,0.15102140605449677,210334.62511880315,296251.0625,0.21834123134613037,62505.861840000005,88037.9453125,0.064885213971138,556605,783964.25,0.577792763710022,256933,361883.71875,0.2667134404182434,0,0,0,0.0,0.0,0.0,134958,190084.96875,0.1400953233242035,171265,241222.46875,0.17778438329696655,749755.0,1056011.125,0.7782951593399048,552899,778744.4375,0.5739457011222839,1264754.0,1781374.375,1.3128981590270996,192980,271807.5,0.20032598078250885,90483,127443.046875,0.09392733126878738,295320,415950.84375,0.306561678647995
Arkansas,2127517,2996554.5,4.140826225280762,477757,672908.8125,0.9298674464225769,79096,111404.7421875,0.15394604206085205,170249,239791.46875,0.3313588500022888,74957.82,105576.21875,0.14589181542396545,38920.39901983738,54818.41015625,0.07575150579214096,26173.085,36864.13671875,0.05094116926193237,381053.90625,536704.875,0.7416523694992065,100420.734375,141440.09375,0.1954507678747177,157441.09621493457,221751.84375,0.30643054842948914,80133.9942,112866.7265625,0.15596629679203033,425564,599396.25,0.8282831907272339,130126,183279.21875,0.25326669216156006,0,0,0,0.0,0.0,0.0,174680,246032.421875,0.3399829864501953,8100,11408.6474609375,0.015765182673931122,530719.5625,747505.25,1.032949447631836,301099,424090.40625,0.5860346555709839,1573659.5,2216460.0,3.062842845916748,80827,113842.8125,0.15731512010097504,41193,58019.3125,0.08017471432685852,83028,116942.859375,0.16159895062446594
California,31776920,44756996.0,4.652522087097168,7204340,10147133.0,1.0548018217086792,1168977,1646474.875,0.1711522489786148,993897,1399879.125,0.1455184370279312,920654.949,1296719.5,0.1347949206829071,351029.08314567804,494415.6875,0.05139486491680145,4128285.0900000003,5814586.5,0.6044304370880127,7357784.0,10363255.0,1.0772677659988403,1355232.75,1908811.5,0.19842232763767242,1205307.728228162,1697645.75,0.1764715015888214,316171.1196755236,445319.125,0.04629124328494072,3799633,5351688.0,0.556311845779419,1680935,2367555.0,0.24610905349254608,0,0,0,0.0,0.0,0.0,2438357,3434365.0,0.35700470209121704,921371,1297728.0,0.13489976525306702,4776871.0,6728103.5,0.6993911862373352,7398822,10421056.0,1.0832762718200684,16129534.0,22718046.0,2.3615572452545166,3124543,4400840.5,0.45747053623199463,656129,924141.3125,0.09606515616178513,2251511,3171197.0,0.3296481966972351
Colorado,3684502,5189529.0,4.640419006347656,860835,1212464.625,1.0841723680496216,89695,126333.1640625,0.11296570301055908,76367,107561.0078125,0.09617985039949417,87991.508,123933.8359375,0.11082025617361069,23102.217628479004,32538.896484375,0.02909591794013977,80120.166,112847.25,0.10090675204992294,878208.8125,1236935.125,1.1060535907745361,79556.7578125,112053.703125,0.10019717365503311,156521.2032607057,220456.203125,0.19712947309017181,41391.989400000006,58299.58203125,0.05213083699345589,337844,475844.84375,0.4254951477050781,236038,332453.625,0.2972763180732727,0,0,0,0.0,0.0,0.0,150971,212638.875,0.1901393085718155,0,0.0,0.0,408487.90625,575345.0,0.5144670605659485,386424,544268.5625,0.4866788685321808,1617554.125,2278284.5,2.0372166633605957,253667,357283.625,0.3194790184497833,110375,155460.421875,0.1390109807252884,423015,595806.0625,0.5327631235122681
Connecticut,3931428,5537318.0,6.392751216888428,527358,742770.5625,0.8575175404548645,87070,122635.921875,0.14158134162425995,144708,203817.59375,0.23530438542366028,42776.347,60249.4140625,0.06955704838037491,28688.213034152985,40406.6328125,0.04664885625243187,305487.04,430270.875,0.49674132466316223,619631.9375,872736.125,1.0075608491897583,79307.296875,111702.34375,0.12895868718624115,137181.5782431881,193216.828125,0.22306595742702484,27231.90288,38355.453125,0.044280800968408585,207838,292734.625,0.3379577696323395,177671,250245.15625,0.2889043092727661,0,0,0,0.0,0.0,0.0,328851,463178.40625,0.5347325801849365,175192,246753.546875,0.2848733067512512,402049.4375,566276.5625,0.6537578701972961,403348,568105.5625,0.6558694243431091,2717219.5,3827135.75,4.418371200561523,354300,499022.6875,0.5761142373085022,103326,145532.09375,0.16801463067531586,142135,200193.59375,0.2311205267906189
Delaware,815900,1149174.75,5.736408710479736,192813,271572.28125,1.3556246757507324,40483,57019.29296875,0.284626841545105,77274,108838.5,0.5432960391044617,11056.895,15573.3603515625,0.07773853093385696,8446.0,11895.9794921875,0.059381917119026184,24195.344,34078.5390625,0.1701120138168335,144690.65625,203793.171875,1.0172873735427856,18215.9375,25656.693359375,0.12807214260101318,38449.47580741853,54155.125,0.2703295946121216,12698.667720000001,17885.755859375,0.08928146213293076,77714,109458.2265625,0.5463895797729492,43598,61406.69140625,0.30652767419815063,0,0,0,0.0,0.0,0.0,59939,84422.5859375,0.42141759395599365,5858,8250.8466796875,0.04118627682328224,123441.390625,173864.109375,0.8678885102272034,177132,249486.0,1.245375156402588,224503.609375,316207.71875,1.5784342288970947,75387,106180.703125,0.5300289392471313,11234,15822.80859375,0.07898371666669846,32173,45314.8671875,0.2262011021375656
District of Columbia,623415,878064.4375,7.19265079498291,48148,67815.2578125,0.5555076003074646,0,0.0,0.0,0,0.0,0.0,11746.448,16544.578125,0.13552464544773102,7619.980255723,10732.5517578125,0.08791552484035492,96863.543,136429.875,1.1175631284713745,220312.453125,310304.59375,2.5418550968170166,42866.8984375,60376.953125,0.4945768415927887,22762.57440694955,32060.517578125,0.26262322068214417,14979.501600000001,21098.25390625,0.17282600700855255,81568,114886.4921875,0.9410908818244934,17440,24563.8046875,0.2012140154838562,0,0,0,0.0,0.0,0.0,67071,94467.828125,0.7738317251205444,0,0.0,0.0,167667.09375,236154.90625,1.9344592094421387,145494,204924.65625,1.6786370277404785,974075.875,1371961.5,11.23840045928955,111592,157174.546875,1.2874927520751953,18260,25718.75390625,0.21067476272583008,60097,84645.125,0.6933692097663879
Florida,12141943,17101624.0,4.562870025634766,2167583,3052986.5,0.8145648241043091,407474,573916.9375,0.1531262993812561,279663,393898.34375,0.10509569197893143,377309.857,531431.5,0.14179080724716187,108360.3389391303,152622.828125,0.04072117060422897,356876.168,502651.15625,0.1341119408607483,1550432.875,2183746.0,0.582643449306488,426055.875,600089.0625,0.1601092666387558,752049.8229530961,1059243.375,0.2826158404350281,310198.72224000003,436907.15625,0.1165708377957344,2047553,2883927.25,0.7694582343101501,698930,984425.4375,0.26265373826026917,0,0,0,0.0,0.0,0.0,613720,864409.25,0.23063232004642487,129936,183011.609375,0.048829175531864166,1516611.875,2136110.0,0.5699337720870972,2224482,3133127.25,0.8359470963478088,8359886.0,11774690.0,3.1415953636169434,1008450,1420376.625,0.3789695203304291,252246,355282.1875,0.09479254484176636,1016300,1431433.125,0.3819195032119751
