,PK12ed,PK12ed_real,PK12ed_realperch,highered,highered_real,highered_realperch,edsubs,edsubs_real,edsubs_realperch,edservs,edservs_real,edservs_realperch,pell,pell_real,pell_realperch,HeadStartPriv,HeadStartPriv_real,HeadStartPriv_realperch,TANFbasic,TANFbasic_real,TANFbasic_realperch,othercashserv,othercashserv_real,othercashserv_realperch,SNAP,SNAP_real,SNAP_realperch,socsec,socsec_real,socsec_realperch,fedSSI,fedSSI_real,fedSSI_realperch,fedEITC,fedEITC_real,fedEITC_realperch,CTC,CTC_real,CTC_realperch,addCC,addCC_real,addCC_realperch,stateEITC,stateEITC_real,stateEITC_realperch,unemp,unemp_real,unemp_realperch,wcomp,wcomp_real,wcomp_realperch,Medicaid_CHIP,Medicaid_CHIP_real,Medicaid_CHIP_realperch,pubhealth,pubhealth_real,pubhealth_realperch,other_health,other_health_real,other_health_realperch,HCD,HCD_real,HCD_realperch,lib,lib_real,lib_realperch,parkrec,parkrec_real,parkrec_realperch
Alabama,6573857,7234370.5,6.029244899749756,1501508,1652373.25,1.3771153688430786,402752,443218.84375,0.3693859875202179,303771,334292.625,0.27860504388809204,616230.587,678146.875,0.5651789307594299,95310.80795071882,104887.2421875,0.08741477876901627,49093.777,54026.515625,0.04502660036087036,748221.25,823399.375,0.6862347722053528,587262.9375,646268.6875,0.538611114025116,447365.55118054664,492314.96875,0.4103035032749176,214337.42460000003,235873.15625,0.19658061861991882,1380055,1518717.125,1.2657241821289062,415566,457320.34375,0.381138414144516,529427,582621.625,0.4855665862560272,0.0,0.0,0.0,1041680,1146343.625,0.9553818702697754,0,0.0,0.0,2161881.25,2379098.0,1.9827799797058105,910886,1002408.0,0.8354235291481018,7367026.0,8107234.0,6.756703853607178,387483,426415.65625,0.35538190603256226,96015,105662.1875,0.08806063234806061,335279,368966.4375,0.30750277638435364
Alaska,2157418,2374186.25,11.96557903289795,467325,514279.84375,2.5919010639190674,23630,26004.244140625,0.13105788826942444,83367,91743.3671875,0.462374210357666,46038.264,50663.99609375,0.25533971190452576,13127.649,14446.66015625,0.07280921936035156,39660.988,43645.95703125,0.2199697494506836,429927.0,473124.25,2.3844826221466064,73330.4296875,80698.3671875,0.40670889616012573,48251.44889631534,53099.55078125,0.26761457324028015,7992.44208,8795.4892578125,0.04432808235287666,90816,99940.8125,0.5036882162094116,86773,95491.5859375,0.48126474022865295,44029,48452.84765625,0.2441958338022232,0.0,0.0,0.0,309144,340205.5,1.7145899534225464,4267,4695.73046875,0.02366584911942482,489917.625,539142.5,2.71720552444458,186314,205034.046875,1.033344030380249,1040078.375,1144581.125,5.7685346603393555,280296,308458.96875,1.5545916557312012,36788,40484.3046875,0.2040354460477829,95119,104676.15625,0.5275537371635437
Arizona,7388074,8130396.5,4.727076530456543,1674809,1843086.75,1.0715850591659546,474788,522492.71875,0.3037813603878021,191136,210340.546875,0.12229364365339279,727633.67,800743.25,0.46555840969085693,81565.60638294602,89760.9765625,0.052187737077474594,104894.864,115434.2578125,0.06711438298225403,1202463.125,1323281.625,0.7693663239479065,784324.9375,863130.625,0.5018309354782104,382212.0551480496,420615.125,0.24454893171787262,146567.9556,161294.484375,0.09377788007259369,1295336,1425486.0,0.8287887573242188,581631,640070.875,0.3721422255039215,756067,832033.4375,0.4837507903575897,0.0,0.0,0.0,1882603,2071759.125,1.204537034034729,306633,337442.1875,0.19619153439998627,3308922.5,3641389.25,2.1171324253082275,2092533,2302782.0,1.338855504989624,4637054.5,5102966.5,2.966904878616333,612257,673774.0,0.3917374908924103,158354,174264.75,0.10131889581680298,593798,653460.3125,0.3799269497394562
Arkansas,4480204,4930356.0,6.552055358886719,972336,1070032.25,1.421988606452942,300695,330907.5625,0.4397501051425934,106170,116837.515625,0.1552678644657135,381098.837,419390.0625,0.5573363900184631,67238.73581864357,73994.6015625,0.09833300113677979,16162.976,17786.96484375,0.023637477308511734,565406.0,622215.625,0.826875627040863,312312.28125,343692.125,0.45673978328704834,263931.5343897217,290450.28125,0.3859855830669403,193939.74503999998,213426.0,0.28362634778022766,741234,815710.0625,1.0840145349502563,256444,282210.40625,0.37503543496131897,293940,323473.875,0.4298713207244873,0.0,0.0,0.0,1018367,1120688.25,1.4893064498901367,15437,16988.044921875,0.022575775161385536,1561097.25,1717949.75,2.28302001953125,295851,325576.875,0.4326660633087158,3030580.75,3335080.75,4.4320597648620605,180818,198985.828125,0.2644365131855011,60394,66462.1328125,0.0883229449391365,171857,189124.46875,0.25133153796195984
California,57105136,62842820.0,6.376718997955322,20309862,22350512.0,2.2679271697998047,3018863,3322185.75,0.33710524439811707,1812950,1995107.625,0.20244541764259338,4201604.078,4623763.5,0.4691775441169739,545875.3860955925,600722.6875,0.06095588579773903,3948392.413,4345110.5,0.44090238213539124,15875368.0,17470458.0,1.7727434635162354,3496200.25,3847483.75,0.3904077112674713,1820125.6244632343,2003004.25,0.20324668288230896,624317.9798451276,687046.8125,0.06971527636051178,6858240,7547327.0,0.7658342123031616,3236563,3561759.25,0.36141499876976013,4019196,4423028.0,0.4488087296485901,0.0,0.0,0.0,11720135,12897725.0,1.3087440729141235,1619650,1782385.625,0.18086031079292297,13273993.0,14607708.0,1.482257604598999,11779426,12962973.0,1.3153648376464844,36204912.0,39842628.0,4.042868137359619,7438719,8186130.5,0.8306542038917542,1122135,1234882.375,0.12530465424060822,4535945,4991698.0,0.5065122246742249
Colorado,6969515,7669782.5,5.914600849151611,1251498,1377243.25,1.0620697736740112,293792,323311.0,0.249323308467865,107057,117813.640625,0.09085272997617722,486284.765,535144.625,0.41268014907836914,48736.4605718196,53633.296875,0.04135965555906296,71193.84,78347.1015625,0.06041786074638367,1055942.125,1162038.75,0.8961135149002075,354858.03125,390512.6875,0.30114632844924927,252940.92552846723,278355.375,0.21465550363063812,59087.872800000005,65024.7734375,0.050144262611866,718025,790169.125,0.6093438863754272,506573,557471.3125,0.4298975169658661,447617,492591.6875,0.3798651695251465,0.0,0.0,0.0,2204305,2425784.25,1.8706587553024292,365954,402723.53125,0.31056278944015503,1432715.875,1576669.125,1.2158583402633667,1410344,1552049.5,1.1968727111816406,3760119.0,4137920.0,3.1909830570220947,588199,647298.75,0.4991685152053833,248453,273416.53125,0.21084687113761902,920373,1012848.25,0.7810642719268799
Connecticut,7915525,8710844.0,10.059699058532715,865493,952454.125,1.0999394655227661,291866,321191.46875,0.37092724442481995,256798,282600.0,0.32635998725891113,264997.152,291622.96875,0.3367801308631897,42926.74535061836,47239.84375,0.05455482751131058,92870.439,102201.671875,0.11802737414836884,1336258.5,1470520.125,1.6982269287109375,215340.703125,236977.234375,0.2736726403236389,208293.58649027214,229222.046875,0.26471656560897827,55287.162,60842.18359375,0.07026346027851105,404519,445163.375,0.5140959024429321,317384,349273.40625,0.4033576250076294,176753,194512.40625,0.22463221848011017,0.0,0.0,0.0,2502853,2754329.25,3.180830955505371,38144,41976.55078125,0.04847652465105057,1121332.5,1233999.25,1.4250812530517578,729086,802341.5,0.9265822768211365,4325454.5,4760058.0,5.497142314910889,694465,764241.9375,0.8825830817222595,153504,168927.4375,0.19508546590805054,223944,246444.953125,0.284606397151947
Delaware,1463603,1610659.75,7.347967147827148,214769,236348.09375,1.078240156173706,172097,189388.59375,0.8640069365501404,121963,134217.328125,0.6123108863830566,69337.113,76303.8125,0.3481045067310333,13930.947,15330.669921875,0.06993982940912247,10779.102,11862.140625,0.05411610007286072,285918.90625,314646.84375,1.435445785522461,84721.859375,93234.359375,0.4253431260585785,63013.91638791618,69345.2890625,0.31635913252830505,25243.4868,27779.845703125,0.12673403322696686,151528,166752.90625,0.7607409954071045,84820,93342.359375,0.42583581805229187,69745,76752.6875,0.35015231370925903,25456.703125,28014.486328125,0.1278044730424881,336235,370018.5,1.6880559921264648,6421,7066.1552734375,0.032236404716968536,411234.5625,452553.6875,2.0645885467529297,407264,448184.1875,2.044654607772827,922413.4375,1015093.6875,4.63094425201416,158138,174027.046875,0.7939262390136719,33539,36908.859375,0.16838136315345764,57156,62898.796875,0.28694969415664673
District of Columbia,1896647,2087214.125,18.810001373291016,107882,118721.53125,1.0699199438095093,0,0.0,0.0,0,0.0,0.0,53505.662,58881.6875,0.5306425094604492,12972.609871877641,14276.04296875,0.12865588068962097,53150.612,58490.96484375,0.527121365070343,701779.375,772291.25,6.959898948669434,77377.859375,85152.4609375,0.7673950791358948,28743.532369194894,31631.5625,0.28506404161453247,31245.302160000003,34384.69921875,0.30987536907196045,112488,123790.3203125,1.1155999898910522,28406,31260.115234375,0.28171655535697937,39256,43200.27734375,0.3893214762210846,40495.6796875,44564.515625,0.40161600708961487,458452,504515.34375,4.546699047088623,0,0.0,0.0,339145.78125,373221.71875,3.363478899002075,438376,482422.1875,4.34759521484375,1695979.25,1866384.125,16.81987762451172,503119,553670.3125,4.989684104919434,37466,41230.42578125,0.37156912684440613,131325,144519.984375,1.3024159669876099
Florida,22340868,24585584.0,5.788283348083496,4265695,4694294.0,1.1051965951919556,1792669,1972788.875,0.46446168422698975,745831,820769.0,0.19323696196079254,2438790.499,2683830.0,0.6318649649620056,170038.71292012502,187123.484375,0.044055238366127014,187356.811,206181.640625,0.04854217916727066,3646257.25,4012618.0,0.944706916809082,1859532.75,2046370.875,0.481785386800766,1179306.0051316884,1297797.75,0.30554577708244324,654952.82688,720759.75,0.16969138383865356,4678572,5148655.5,1.21216881275177,1363368,1500353.5,0.35323429107666016,1791617,1971631.125,0.4641891121864319,0.0,0.0,0.0,6717150,7392061.0,1.7403428554534912,239987,264099.875,0.062178101390600204,5712745.0,6286737.5,1.480112075805664,4645091,5111810.5,1.2034941911697388,20032868.0,22045686.0,5.190305233001709,2458041,2705014.75,0.6368525624275208,553658,609287.25,0.14344696700572968,2161133,2378274.5,0.5599268078804016
