,PK12ed,PK12ed_real,PK12ed_realperch,highered,highered_real,highered_realperch,edsubs,edsubs_real,edsubs_realperch,edservs,edservs_real,edservs_realperch,pell,pell_real,pell_realperch,HeadStartPriv,HeadStartPriv_real,HeadStartPriv_realperch,TANFbasic,TANFbasic_real,TANFbasic_realperch,othercashserv,othercashserv_real,othercashserv_realperch,SNAP,SNAP_real,SNAP_realperch,socsec,socsec_real,socsec_realperch,fedSSI,fedSSI_real,fedSSI_realperch,fedEITC,fedEITC_real,fedEITC_realperch,CTC,CTC_real,CTC_realperch,addCC,addCC_real,addCC_realperch,stateEITC,stateEITC_real,stateEITC_realperch,unemp,unemp_real,unemp_realperch,wcomp,wcomp_real,wcomp_realperch,Medicaid_CHIP,Medicaid_CHIP_real,Medicaid_CHIP_realperch,pubhealth,pubhealth_real,pubhealth_realperch,other_health,other_health_real,other_health_realperch,HCD,HCD_real,HCD_realperch,lib,lib_real,lib_realperch,parkrec,parkrec_real,parkrec_realperch
Alabama,3784422,5263485.5,4.4341936111450195,1062365,1477568.5,1.2447692155838013,126108,175394.703125,0.1477602869272232,285679,397330.75,0.33472904562950134,130867.246,182014.015625,0.15333668887615204,62014.325942635536,86251.34375,0.07266195863485336,35187.134,48939.30078125,0.04122863709926605,855710.875,1190147.875,1.0026333332061768,181886.484375,252973.0625,0.21311573684215546,290756.10409342963,404392.125,0.3406778573989868,119852.15340000001,166693.890625,0.14043033123016357,798301,1110300.5,0.9353663921356201,292540,406873.21875,0.3427680432796478,0,0,0,0.0,0.0,0.0,190809,265382.75,0.22357019782066345,0,0.0,0.0,418621.28125,582230.75,0.49049702286720276,830366,1154897.375,0.9729368090629578,4132916.75,5748182.0,4.842523574829102,275815,383611.59375,0.3231714367866516,54873,76318.9765625,0.0642944946885109,201080,279667.96875,0.23560470342636108
Alaska,1097282,1526132.0,7.616569519042969,230734,320911.625,1.601595163345337,4480,6230.91552734375,0.0310970488935709,47307,65795.9609375,0.3283723294734955,9606.161,13360.53125,0.06667929887771606,8162.979705572128,11353.3115234375,0.056661732494831085,64006.772999999994,89022.5,0.44429054856300354,201588.21875,280374.8125,1.3992854356765747,25178.31640625,35018.7421875,0.17477038502693176,33236.87170416601,46226.81640625,0.23070727288722992,4444.70508,6181.826171875,0.030852055177092552,40056,55711.0625,0.27804094552993774,56664,78809.953125,0.3933221101760864,0,0,0,0.0,0.0,0.0,117331,163187.40625,0.8144303560256958,2466,3429.78515625,0.01711725816130638,157794.734375,219465.546875,1.0953013896942139,161191,224189.171875,1.1188759803771973,309069.25,429862.59375,2.1453440189361572,78451,109111.953125,0.5445523262023926,22197,30872.240234375,0.15407615900039673,45757,63640.1796875,0.31761330366134644
Arizona,3849420,5353886.5,3.8104569911956787,1181717,1643566.75,1.1697559356689453,132942,184899.640625,0.1315963864326477,113376,157686.671875,0.11222843080759048,113074.901,157267.890625,0.11193037778139114,47011.337351083755,65384.75,0.04653549939393997,121644.665,169186.96875,0.1204134002327919,497790.34375,692341.4375,0.492751806974411,132012.671875,183607.09375,0.13067646324634552,220974.38574848376,307337.65625,0.21873772144317627,62501.572799999994,86929.0234375,0.06186894699931145,562008,781657.25,0.5563194751739502,337200,468987.65625,0.3337869346141815,0,0,0,0.0,0.0,0.0,142126,197673.015625,0.14068743586540222,158566,220538.25,0.15696102380752563,786064.125,1093281.125,0.778107762336731,631360,878114.0,0.624969482421875,779021.875,1083486.5,0.7711367607116699,203467,282987.875,0.2014075517654419,104338,145116.359375,0.1032819151878357,316985,440872.03125,0.31377652287483215
Arkansas,2224967,3094549.5,4.2887468338012695,523547,728164.5625,1.0091657638549805,102184,142120.515625,0.1969653069972992,170439,237051.5625,0.32853057980537415,78972.338,109837.046875,0.15222354233264923,42886.822188556194,59648.25,0.08266671746969223,23781.918,33076.58984375,0.04584095999598503,410134.09375,570426.5625,0.7905561327934265,105356.8359375,146533.375,0.20308110117912292,161105.38243789866,224070.09375,0.31053951382637024,72848.84903999999,101320.3203125,0.14042018353939056,431553,600216.5625,0.8318421840667725,168353,234150.296875,0.32450971007347107,0,0,0,0.0,0.0,0.0,173942,241923.640625,0.3352828025817871,9755,13567.5400390625,0.018803300336003304,508670.1875,707473.4375,0.9804898500442505,322073,447948.59375,0.6208134889602661,1693390.75,2355217.5,3.264103889465332,94367,131248.390625,0.1818975955247879,46070,64075.5078125,0.08880246430635452,95906,133388.875,0.1848641037940979
California,33739312,46925624.0,4.847541332244873,8785788,12219532.0,1.2623100280761719,1200084,1669112.125,0.17242370545864105,1104516,1536193.25,0.1586928367614746,926030.061,1287949.75,0.1330486238002777,370282.21311199665,514999.375,0.053200799971818924,4289944.408000001,5966580.5,0.6163635849952698,7737424.5,10761437.0,1.1116849184036255,1156711.625,1608788.5,0.16619211435317993,1249661.5298340353,1738066.0,0.17954681813716888,317521.7052649403,441618.5,0.04562035948038101,3868666,5380654.5,0.5558358430862427,2204990,3066764.75,0.3168049156665802,0,0,0,0.0,0.0,0.0,2538560,3530703.75,0.3647310435771942,943679,1312496.5,0.13558436930179596,5347184.0,7437020.5,0.7682639360427856,7917654,11012106.0,1.1375796794891357,17664096.0,24567744.0,2.5379130840301514,3276939,4557663.0,0.4708186686038971,682939,949851.625,0.09812218695878983,2384285,3316133.5,0.3425653576850891
Colorado,3916260,5446849.5,4.76237678527832,954147,1327055.625,1.160292625427246,95983,133495.96875,0.11672034114599228,77356,107589.0,0.09406894445419312,84242.805,117167.3671875,0.1024436503648758,28481.082963109016,39612.328125,0.034634485840797424,55141.323,76692.171875,0.06705473363399506,944775.6875,1314021.75,1.14889657497406,71636.6640625,99634.375,0.08711392432451248,165818.3659996632,230625.046875,0.20164379477500916,35431.62,49279.3359375,0.0430867001414299,336236,467646.90625,0.4088805615901947,305166,424433.84375,0.3710978031158447,0,0,0,26369.77734375,36675.859375,0.03206702694296837,147120,204618.8125,0.17890560626983643,0,0.0,0.0,479372.78125,666725.75,0.5829423666000366,398016,553572.3125,0.48400822281837463,1586397.25,2206408.0,1.9291419982910156,271581,377722.84375,0.33025670051574707,114203,158836.890625,0.13887682557106018,467423,650105.625,0.5684108138084412
Connecticut,4455325,6196597.0,7.073676109313965,619263,861289.1875,0.9831978678703308,92937,129259.5078125,0.1475551724433899,157232,218682.890625,0.2496357262134552,41662.921,57946.015625,0.0661478191614151,30256.488289117813,42081.61328125,0.04803793132305145,187115.954,260246.359375,0.29708218574523926,703436.0,978359.4375,1.1168384552001953,71058.03125,98829.59375,0.112818144261837,141279.59339576826,196495.8125,0.22430823743343353,27513.0006,38265.890625,0.043682124465703964,214300,298054.71875,0.3402419984340668,228896,318355.28125,0.3634159564971924,0,0,0,0.0,0.0,0.0,343921,478335.4375,0.5460400581359863,134994,187753.625,0.21432866156101227,412706.65625,574004.5625,0.6552503705024719,375921,522841.96875,0.5968461036682129,2733195.25,3801408.25,4.339467525482178,378798,526843.375,0.601413905620575,105745,147073.25,0.16789031028747559,156125,217143.234375,0.24787813425064087
Delaware,848633,1180303.75,5.796600341796875,185622,258168.53125,1.2678937911987305,42138,58606.76953125,0.28782424330711365,96469,134171.921875,0.6589329242706299,10797.926,15018.072265625,0.07375539094209671,8873.0,12340.8291015625,0.06060715764760971,23135.963,32178.17578125,0.15803052484989166,123261.0390625,171435.078125,0.8419363498687744,17734.923828125,24666.251953125,0.12113864719867706,39631.819967584466,55121.09765625,0.2707057297229767,12619.344,17551.353515625,0.08619660884141922,78425,109075.796875,0.5356830954551697,56107,78035.265625,0.3832396864891052,0,0,0,0.0,0.0,0.0,55533,77236.9296875,0.3793189823627472,4851,6746.9130859375,0.033134825527668,143860.90625,200085.96875,0.9826439619064331,198899,276634.5625,1.3585824966430664,229113.09375,318657.21875,1.5649603605270386,81196,112929.78125,0.5546104311943054,13640,18970.912109375,0.0931682139635086,33340,46370.25,0.22772935032844543
District of Columbia,685988,954092.25,7.726882457733154,62618,87090.953125,0.7053212523460388,0,0.0,0.0,0,0.0,0.0,11320.344,15744.6669921875,0.1275109350681305,11997.566979408264,16686.568359375,0.1351390779018402,80089.595,111390.9609375,0.9021191000938416,321530.40625,447193.9375,3.621678113937378,41825.95703125,58172.76953125,0.4711223244667053,22374.01066098081,31118.431640625,0.2520180344581604,15888.762120000001,22098.556640625,0.17896901071071625,84381,117359.5703125,0.9504569172859192,22587,31414.662109375,0.2544171214103699,0,0,0,0.0,0.0,0.0,63568,88412.2421875,0.7160219550132751,0,0.0,0.0,221810.796875,308500.96875,2.4984488487243652,242194,336850.53125,2.7280428409576416,885703.1875,1231862.0,9.976449012756348,58525,81398.2890625,0.6592182517051697,23347,32471.693359375,0.262977659702301,44471,61851.57421875,0.5009157657623291
Florida,12987313,18063136.0,4.7451066970825195,2493009,3467350.25,0.9108577370643616,465658,647650.8125,0.170135036110878,286048,397843.96875,0.10451186448335648,374467.497,520820.40625,0.13681724667549133,104156.80004954338,144864.34375,0.03805522993206978,284970.118,396344.8125,0.10411804914474487,1573414.875,2188351.5,0.5748703479766846,387008.21875,538262.375,0.14139917492866516,781216.6003845367,1086539.0,0.2854290306568146,312569.44992000004,434730.78125,0.1142018735408783,2118067,2945869.75,0.7738670706748962,922362,1282848.125,0.3369985818862915,0,0,0,0.0,0.0,0.0,646162,898701.0625,0.23608483374118805,117157,162945.390625,0.04280504211783409,1792727.875,2493378.5,0.6549996137619019,2677534,3723993.0,0.9782766699790955,8740448.0,12156472.0,3.1934518814086914,1037972,1443642.0,0.37923842668533325,253736,352903.46875,0.09270619601011276,1033799,1437838.0,0.37771373987197876
