,PK12ed,PK12ed_real,PK12ed_realperch,highered,highered_real,highered_realperch,edsubs,edsubs_real,edsubs_realperch,edservs,edservs_real,edservs_realperch,pell,pell_real,pell_realperch,HeadStartPriv,HeadStartPriv_real,HeadStartPriv_realperch,TANFbasic,TANFbasic_real,TANFbasic_realperch,othercashserv,othercashserv_real,othercashserv_realperch,SNAP,SNAP_real,SNAP_realperch,socsec,socsec_real,socsec_realperch,fedSSI,fedSSI_real,fedSSI_realperch,fedEITC,fedEITC_real,fedEITC_realperch,CTC,CTC_real,CTC_realperch,addCC,addCC_real,addCC_realperch,stateEITC,stateEITC_real,stateEITC_realperch,unemp,unemp_real,unemp_realperch,wcomp,wcomp_real,wcomp_realperch,Medicaid_CHIP,Medicaid_CHIP_real,Medicaid_CHIP_realperch,pubhealth,pubhealth_real,pubhealth_realperch,other_health,other_health_real,other_health_realperch,HCD,HCD_real,HCD_realperch,lib,lib_real,lib_realperch,parkrec,parkrec_real,parkrec_realperch
Alabama,3271969,4665308.5,3.9294486045837402,956505,1363824.25,1.1487079858779907,107733,153610.15625,0.1293811947107315,246057,350838.21875,0.29550042748451233,120833.258,172289.046875,0.14511387050151825,55777.48900830746,79529.84375,0.066985584795475,63817.907,90994.203125,0.07664167135953903,426958.09375,608774.4375,0.51275235414505,200339.28125,285652.0,0.24059605598449707,276733.3637015037,394577.84375,0.3323410153388977,128645.01084,183427.359375,0.15449532866477966,777301,1108307.875,0.9334942698478699,0,0,0,0,0,0,0.0,0.0,0.0,279459,398464.15625,0.33561432361602783,0,0.0,0.0,,,,774796,1104736.125,0.9304859042167664,,,,226279,322637.9375,0.2717481851577759,42002,59888.18359375,0.050442010164260864,215250,306912.34375,0.2585029900074005
Alaska,1042311,1486170.0,7.548493385314941,209433,298618.21875,1.5167293548583984,5550,7913.4189453125,0.04019350931048393,52355,74649.921875,0.37915879487991333,7574.933,10800.65234375,0.05485822632908821,7581.0,10809.302734375,0.05490216240286827,98731.126,140774.90625,0.715018093585968,172966.875,246623.3125,1.2526389360427856,28513.375,40655.546875,0.2064959704875946,30713.22195341121,43792.1796875,0.22242742776870728,4678.1592,6670.3125,0.03387957438826561,37444,53389.19921875,0.2711722254753113,0,0,0,0,0,0,0.0,0.0,0.0,137851,196553.640625,0.9983271360397339,2270,3236.65966796875,0.01643950864672661,,,,155597,221856.625,1.1268450021743774,,,,75143,107141.9921875,0.5441911816596985,22306,31804.814453125,0.16154170036315918,43634,62215.15625,0.31600064039230347
Arizona,3388165,4830985.5,3.706679344177246,847032,1207733.125,0.9266596436500549,111735,159316.375,0.12223897129297256,170281,242793.671875,0.1862887591123581,120449.842,171742.359375,0.13177308440208435,40668.16778039932,57986.3515625,0.04449129477143288,187168.812,266873.0,0.20476414263248444,667569.1875,951847.6875,0.7303259372711182,180363.0625,257169.09375,0.19731861352920532,201307.38252830302,287032.375,0.22023186087608337,60955.206,86912.4453125,0.06668547540903091,540008,769965.6875,0.5907729864120483,0,0,0,0,0,0,0.0,0.0,0.0,211300,301280.25,0.2311638593673706,231245,329718.65625,0.25298383831977844,,,,520011,741453.125,0.5688961148262024,,,,188164,268292.0,0.20585289597511292,83626,119237.3984375,0.09148750454187393,278118,396552.125,0.30426329374313354
Arkansas,1960613,2795523.0,3.891274929046631,457171,651853.25,0.9073579907417297,62447,89039.5078125,0.12394002825021744,189808,270636.0625,0.37671637535095215,65903.625,93968.109375,0.13080047070980072,34294.76277279854,48898.88671875,0.06806562095880508,48154.142,68660.1640625,0.09557265788316727,328777.84375,468785.0,0.6525331139564514,101938.0390625,145347.46875,0.20231883227825165,158875.93712893507,226531.859375,0.3153248131275177,76165.97604,108600.59375,0.15116840600967407,421488,600975.0,0.8365371823310852,0,0,0,0,0,0,0.0,0.0,0.0,260884,371979.15625,0.5177825689315796,7448,10619.666015625,0.014782221056520939,,,,291270,415304.78125,0.5780904293060303,,,,81345,115985.0546875,0.16144733130931854,31888,45467.2265625,0.0632888674736023,80406,114646.1953125,0.1595836877822876
California,28708364,40933568.0,4.28232479095459,6858657,9779356.0,1.0230815410614014,1121672,1599326.25,0.16731584072113037,943805,1345716.125,0.14078404009342194,775291.674,1105442.875,0.11564750969409943,308907.1912304163,440452.625,0.04607859253883362,5036460.813,7181193.5,0.7512710094451904,6852416.0,9770457.0,1.0221505165100098,1477317.375,2106420.0,0.22036617994308472,1176634.537151555,1677694.125,0.17551440000534058,307368.8475344208,438259.1875,0.04584912210702896,3678384,5244791.5,0.54869145154953,0,0,0,0,0,0,0.0,0.0,0.0,3746806,5342350.5,0.5588977336883545,961150,1370447.375,0.1433713436126709,,,,7045512,10045782.0,1.0509541034698486,,,,3175414,4527636.5,0.4736652672290802,636082,906951.9375,0.09488209336996078,2174666,3100728.5,0.32438722252845764
Colorado,3332994,4752320.5,4.380313396453857,861733,1228694.5,1.1325135231018066,84129,119954.6015625,0.11056467890739441,77419,110387.203125,0.10174620151519775,79003.771,112646.8359375,0.10382895171642303,289154.20591950417,412288.0,0.3800145089626312,108467.171,154656.96875,0.14255057275295258,888760.8125,1267231.875,1.1680341958999634,93925.3984375,133922.703125,0.12343937158584595,156353.05252767558,222934.625,0.20548352599143982,42516.112799999995,60621.2265625,0.055875856429338455,334125,476409.21875,0.43911638855934143,0,0,0,0,0,0,0.0,0.0,0.0,238510,340077.40625,0.3134564757347107,340446,485421.9375,0.4474236071109772,,,,343166,489300.25,0.45099830627441406,,,,207319,295603.96875,0.272464394569397,111049,158338.25,0.14594368636608124,399417,569505.25,0.5249249339103699
Connecticut,4014870,5724567.5,6.697437286376953,502177,716024.6875,0.8377104997634888,71053,101310.296875,0.1185276210308075,138932,198094.984375,0.23176051676273346,36453.307,51976.62890625,0.060809869319200516,26573.54723095894,37889.66015625,0.04432887211441994,320942.776,457613.4375,0.5353832244873047,578823.25,825310.0625,0.9655685424804688,86500.6796875,123336.234375,0.1442967802286148,134440.1640134323,191690.328125,0.2242674082517624,26299.839119999997,37499.39453125,0.04387228190898895,196440,280092.25,0.3276929259300232,0,0,0,0,0,0,0.0,0.0,0.0,493870,704180.25,0.8238531351089478,209484,298690.9375,0.349452406167984,,,,339137,483555.53125,0.5657340884208679,,,,300285,428158.75,0.5009227991104126,100827,143763.296875,0.16819535195827484,144305,205756.015625,0.24072352051734924
Delaware,776825,1107629.125,5.625309944152832,185114,263943.1875,1.340486764907837,31284,44606.01953125,0.22654034197330475,81880,116747.8828125,0.5929268002510071,9964.552,14207.869140625,0.07215742766857147,8314.0,11854.4443359375,0.06020509824156761,31471.313,44873.09765625,0.22789674997329712,139107.6875,198345.484375,1.007336139678955,22563.572265625,32172.072265625,0.16339212656021118,36127.75371117963,51512.44140625,0.26161593198776245,11825.694720000001,16861.5625,0.08563472330570221,76212,108666.2109375,0.5518824458122253,0,0,0,0,0,0,0.0,0.0,0.0,112437,160317.3125,0.814202606678009,8817,12571.642578125,0.06384752690792084,,,,159350,227207.796875,1.153918981552124,,,,72309,103101.15625,0.5236192345619202,20265,28894.673828125,0.14674721658229828,34446,49114.52734375,0.24943767488002777
District of Columbia,544051,775730.375,6.105132579803467,56693,80835.21875,0.6361871957778931,0,0.0,0.0,0,0.0,0.0,18972.246,27051.41015625,0.21289929747581482,7185.239614695311,10245.0107421875,0.08063001185655594,105358.788,150224.90625,1.1822960376739502,226199.21875,322524.1875,2.5383212566375732,47987.234375,68422.1796875,0.5384944081306458,23373.86494925839,33327.421875,0.2622925937175751,13946.815200000001,19885.9453125,0.15650583803653717,79636,113548.296875,0.8936448097229004,0,0,0,0,0,0,0.0,0.0,0.0,116705,166402.796875,1.3096189498901367,0,0.0,0.0,,,,142679,203437.609375,1.601089358329773,,,,103378,147400.609375,1.160068392753601,18769,26761.615234375,0.21061855554580688,56688,80828.0859375,0.6361310482025146
Florida,11498394,16394885.0,4.453577995300293,2039186,2907555.5,0.7898210287094116,391935,558837.0625,0.15180492401123047,269777,384659.1875,0.1044904962182045,318611.385,454289.25,0.1234051063656807,94409.9695957303,134613.625,0.03656703233718872,543984.492,775635.5,0.2106969952583313,1697162.5,2419884.25,0.6573478579521179,519976.59375,741404.0625,0.20139822363853455,725088.2670409335,1033860.75,0.2808424234390259,292188.624,416614.59375,0.11317100375890732,1997956,2848768.0,0.773851752281189,0,0,0,0,0,0,0.0,0.0,0.0,961456,1370883.625,0.37239280343055725,188226,268380.40625,0.07290402054786682,,,,2078936,2964232.75,0.8052170872688293,,,,770103,1098044.625,0.2982776165008545,238198,339632.53125,0.09225925803184509,993600,1416715.875,0.3848428726196289
Georgia,6933391,9885915.0,4.609365940093994,1317266,1878212.25,0.8757275342941284,377853,538758.375,0.25119927525520325,367228,523608.84375,0.24413570761680603,152763.85,217817.0,0.10155846178531647,90012.83227473497,128344.0078125,0.05984114855527878,315997.598,450562.40625,0.21007737517356873,916803.375,1307216.125,0.6094972491264343,310446.90625,442648.0,0.2063872367143631,400435.5708842394,570957.5625,0.2662123441696167,136657.48992000002,194851.890625,0.0908508449792862,1153161,1644224.5,0.7666293382644653,0,0,0,0,0,0,0.0,0.0,0.0,402427,573797.0,0.2675362229347229,0,0.0,0.0,,,,942853,1344358.75,0.6268151998519897,,,,390006,556086.625,0.25927865505218506,66801,95247.625,0.04440976679325104,367599,524137.8125,0.2443823516368866
Hawaii,735256,1048358.3125,3.2316641807556152,394349,562279.0625,1.7332786321640015,4877,6953.82763671875,0.02143583446741104,11592,16528.3515625,0.05095021426677704,16001.057,22814.966796875,0.07032930105924606,12632.0,18011.2265625,0.055521316826343536,163295.423,232833.34375,0.7177309393882751,150910.578125,215174.53125,0.6632959246635437,91215.9609375,130059.4765625,0.40092068910598755,48279.32212756861,68838.6484375,0.21220166981220245,5102.339040000001,7275.12548828125,0.022426266223192215,81529,116247.4140625,0.3583436906337738,0,0,0,0,0,0,0.0,0.0,0.0,235497,335781.34375,1.0350779294967651,0,0.0,0.0,,,,267518,381438.1875,1.1758195161819458,,,,141155,201264.625,0.6204173564910889,18889,26932.71484375,0.08302265405654907,111566,159075.40625,0.49036505818367004
Idaho,1063605,1516531.875,3.9910099506378174,249477,355714.59375,0.9361230731010437,17880,25494.041015625,0.06709187477827072,41141,58660.53515625,0.1543751060962677,34692.564,49466.08984375,0.13017837703227997,11520.616301953793,16426.5703125,0.043229296803474426,20080.416,28631.486328125,0.07534859329462051,182677.59375,260469.25,0.685468852519989,27309.61328125,38939.171875,0.10247500985860825,51182.271877554005,72977.796875,0.1920534074306488,15139.114559999998,21585.974609375,0.05680713802576065,124412,177391.765625,0.4668363928794861,0,0,0,0,0,0,0.0,0.0,0.0,122683,174926.484375,0.46034860610961914,73398,104653.8984375,0.2754144072532654,,,,120495,171806.734375,0.4521384537220001,,,,18991,27078.150390625,0.0712607279419899,21924,31260.14453125,0.08226635307073593,54086,77118.046875,0.2029491662979126
Illinois,10559474,15056134.0,4.440081596374512,1856127,2646542.5,0.7804701924324036,521985,744267.75,0.21948592364788055,426879,608661.6875,0.1794954389333725,221041.939,315170.71875,0.0929444208741188,140981.05678492785,201016.609375,0.059280164539813995,706688.176,1007625.125,0.29715049266815186,2713839.75,3869504.75,1.1411240100860596,480673.4375,685364.0,0.20211508870124817,519825.55630882503,741188.75,0.21857792139053345,213840.20916,304902.1875,0.08991621434688568,1126013,1605515.75,0.4734695255756378,0,0,0,0,0,0,0.0,0.0,0.0,1610734,2296651.0,0.6772865653038025,7943,11325.45703125,0.0033398978412151337,,,,1977228,2819213.25,0.8313911557197571,,,,845413,1205424.75,0.35548195242881775,338697,482928.15625,0.14241638779640198,1194907,1703747.75,0.5024383068084717
