,PK12ed,PK12ed_real,PK12ed_realperch,highered,highered_real,highered_realperch,edsubs,edsubs_real,edsubs_realperch,edservs,edservs_real,edservs_realperch,pell,pell_real,pell_realperch,HeadStartPriv,HeadStartPriv_real,HeadStartPriv_realperch,TANFbasic,TANFbasic_real,TANFbasic_realperch,othercashserv,othercashserv_real,othercashserv_realperch,SNAP,SNAP_real,SNAP_realperch,socsec,socsec_real,socsec_realperch,fedSSI,fedSSI_real,fedSSI_realperch,fedEITC,fedEITC_real,fedEITC_realperch,CTC,CTC_real,CTC_realperch,addCC,addCC_real,addCC_realperch,stateEITC,stateEITC_real,stateEITC_realperch,unemp,unemp_real,unemp_realperch,wcomp,wcomp_real,wcomp_realperch,Medicaid_CHIP,Medicaid_CHIP_real,Medicaid_CHIP_realperch,pubhealth,pubhealth_real,pubhealth_realperch,other_health,other_health_real,other_health_realperch,HCD,HCD_real,HCD_realperch,lib,lib_real,lib_realperch,parkrec,parkrec_real,parkrec_realperch
Alabama,4140052.5,5509615.0,4.651033878326416,1145855.5,1524913.625,1.2872815132141113,165743.5,220572.765625,0.18620020151138306,285392.0,379801.9375,0.3206161856651306,195815.685,260593.078125,0.2199840247631073,82295.27645364171,109519.2109375,0.09245248138904572,31861.159,42401.0859375,0.03579358756542206,972733.3125,1294521.25,1.0927919149398804,190392.078125,253375.296875,0.21389101445674896,320763.81043558184,426875.03125,0.3603537380695343,142810.6914,190053.609375,0.1604369431734085,850160,1131399.75,0.9550901055335999,326865,434994.53125,0.36720794439315796,0,0,0,0.0,0.0,0.0,262170.5,348898.59375,0.294528603553772,0.0,0.0,0.0,598949.8125,797087.1875,0.6728745698928833,906589.5,1206496.5,1.018484354019165,4967872.0,6611283.5,5.581026077270508,287975.0,383239.4375,0.3235180079936981,61327.5,81615.125,0.06889677792787552,254931.5,339264.875,0.2863961458206177
Alaska,1188460.5,1581612.75,7.947722911834717,285804.0,380350.25,1.9112886190414429,7080.0,9422.1201171875,0.04734686017036438,52407.5,69744.3203125,0.3504704535007477,11815.594,15724.2861328125,0.07901571691036224,11656.051,15511.9658203125,0.07794879376888275,51217.598,68160.7890625,0.3425130844116211,250778.90625,333738.5625,1.6770613193511963,24632.982421875,32781.76953125,0.16473086178302765,38966.80225530361,51857.33203125,0.2605869770050049,4997.634,6650.89111328125,0.03342122584581375,42714,56844.1328125,0.2856460511684418,66057,87909.1796875,0.4417502284049988,0,0,0,0.0,0.0,0.0,118324.0,157466.515625,0.7912810444831848,2996.5,3987.76611328125,0.020038824528455734,251286.546875,334414.125,1.6804560422897339,157742.5,209924.96875,1.0548887252807617,411851.4375,548095.1875,2.7542195320129395,108270.0,144086.578125,0.7240458726882935,23261.0,30955.923828125,0.1555558443069458,50935.5,67785.3671875,0.3406265676021576
Arizona,4427480.5,5892126.5,4.002365589141846,1361458.0,1811839.125,1.2307343482971191,153468.5,204237.09375,0.13873285055160522,133147.5,177193.75,0.1203630268573761,156775.578,208638.1875,0.1417223960161209,69516.69537037205,92513.375,0.06284188479185104,91276.949,121472.09375,0.08251278102397919,733219.0625,975773.75,0.6628172993659973,164035.609375,218299.890625,0.14828534424304962,247843.85829867027,329832.59375,0.22404654324054718,75009.71519999999,99823.5234375,0.06780748069286346,588923,783743.4375,0.5323761701583862,406981,541613.5625,0.36790376901626587,0,0,0,0.0,0.0,0.0,261302.5,347743.4375,0.23621290922164917,176555.0,234960.796875,0.15960265696048737,1123643.0,1495353.0,1.0157537460327148,962470.5,1280863.375,0.8700565695762634,1863540.0,2480013.75,1.684607744216919,271996.0,361974.4375,0.2458796501159668,114869.5,152869.25,0.10384003818035126,396612.0,527814.4375,0.3585303723812103
Arkansas,2451202.0,3262079.25,4.542166233062744,661648.5,880527.0625,1.2260586023330688,143774.5,191336.25,0.26641935110092163,204602.5,272286.625,0.3791358172893524,117507.516,156379.9375,0.21774567663669586,50707.95022193241,67482.546875,0.09396366775035858,24602.944,32741.79296875,0.04559014365077019,458248.0625,609840.1875,0.8491502404212952,112345.6796875,149510.53125,0.20818062126636505,170669.38000912,227128.171875,0.3162565529346466,76843.13256,102263.453125,0.1423931121826172,457918,609400.9375,0.8485386371612549,190213,253136.96875,0.35247156023979187,0,0,0,0.0,0.0,0.0,245629.5,326885.6875,0.45516034960746765,10703.0,14243.6376953125,0.019833046942949295,648205.125,862636.5625,1.2011475563049316,298414.0,397131.71875,0.5529718995094299,1795827.875,2389902.0,3.3277339935302734,118561.0,157781.921875,0.21969781816005707,46934.5,62460.8046875,0.08697132766246796,112879.5,150220.9375,0.20916979014873505
California,41025508.0,54597072.0,5.55902099609375,11048932.0,14704007.0,1.4971476793289185,1455108.5,1936470.0,0.1971694976091385,1368923.0,1821773.625,0.18549121916294098,1237130.177,1646382.625,0.1676330715417862,522473.17589781084,695311.4375,0.0707959309220314,3137518.842,4175435.0,0.4251387417316437,10875248.0,14472867.0,1.4736132621765137,1068621.5,1422130.0,0.14479988813400269,1371306.0413138785,1824945.0,0.18581412732601166,363742.57321595954,484071.5,0.04928768798708916,3871433,5152134.0,0.5245852470397949,2572022,3422867.25,0.34851300716400146,0,0,0,0.0,0.0,0.0,3594562.5,4783672.5,0.48706889152526855,1249239.5,1662497.875,0.16927391290664673,6492147.5,8639802.0,0.879696249961853,9199514.0,12242786.0,1.2465485334396362,21355938.0,28420652.0,2.8937630653381348,3381435.0,4500040.5,0.4581897556781769,816871.5,1087099.125,0.11068737506866455,2879718.0,3832351.75,0.39020633697509766
Colorado,4487114.0,5971487.0,5.014390468597412,1122641.5,1494020.25,1.2545620203018188,127223.5,169310.046875,0.1421734094619751,102027.0,135778.34375,0.114016093313694,115346.108,153503.515625,0.12890031933784485,34894.509736002925,46437.890625,0.0389949269592762,55173.679,73425.5703125,0.06165708228945732,1008658.8125,1342331.125,1.1271852254867554,64470.34765625,85797.6484375,0.0720461905002594,178799.26011076616,237947.484375,0.19980978965759277,34477.10532,45882.40625,0.038528475910425186,342436,455716.5625,0.38267531991004944,365591,486531.40625,0.40855124592781067,0,0,0,32904.625,43789.73828125,0.03677121549844742,353076.0,469876.34375,0.394565612077713,186056.0,247604.8125,0.20791926980018616,596095.375,793288.5,0.6661419868469238,709510.5,944222.25,0.7928844094276428,1991969.625,2650929.0,2.226043939590454,349953.0,465720.25,0.39107564091682434,132708.0,176608.859375,0.1483023762702942,614423.5,817679.6875,0.6866238117218018
Connecticut,5027140.0,6690158.0,7.502927780151367,769192.0,1023646.8125,1.1480069160461426,114995.0,153036.265625,0.17162823677062988,183314.5,243956.390625,0.2735940217971802,60506.726,80522.8359375,0.09030534327030182,38860.12655833948,51715.3671875,0.05799813196063042,151081.522,201060.484375,0.22548678517341614,725721.5,965795.9375,1.0831279754638672,59428.9453125,79088.515625,0.08869677037000656,158328.34072480886,210704.609375,0.23630255460739136,32282.62128,42961.96875,0.048181306570768356,222718,296394.875,0.3324030935764313,270660,360196.46875,0.4039557874202728,0,0,0,0.0,0.0,0.0,513121.5,682866.1875,0.7658258080482483,100000.0,133080.796875,0.14924843609333038,336907.8125,448359.59375,0.5028296113014221,456742.0,607835.875,0.6816802620887756,3304744.75,4397980.5,4.932279586791992,401795.0,534712.0,0.5996727347373962,117590.0,156489.703125,0.17550122737884521,209030.5,278179.46875,0.31197476387023926
Delaware,974989.5,1297523.75,6.236565589904785,243995.5,324711.15625,1.560728669166565,52739.0,70185.484375,0.33734750747680664,74168.0,98703.3671875,0.47441908717155457,15808.327,21037.84765625,0.10111870616674423,11830.73,15744.4296875,0.07567581534385681,20578.715,27386.318359375,0.1316327154636383,155378.28125,206778.65625,0.9938844442367554,16825.408203125,22391.38671875,0.10762450844049454,45436.59304519572,60467.37890625,0.2906372845172882,14361.20448,19112.005859375,0.09186211973428726,81647,108656.4765625,0.5222588777542114,66064,87918.5,0.4225814938545227,0,0,0,0.0,0.0,0.0,83795.0,111515.0546875,0.5359986424446106,4897.5,6517.6318359375,0.03132708743214607,182198.890625,242471.734375,1.165443778038025,233446.0,310671.78125,1.4932482242584229,288906.125,384478.5625,1.848001480102539,86949.0,115712.421875,0.5561733245849609,20900.5,27814.552734375,0.13369102776050568,48225.5,64178.87890625,0.30847665667533875
District of Columbia,910714.5,1211986.125,9.786314964294434,61852.0,82313.1328125,0.6646463871002197,0.0,0.0,0.0,0.0,0.0,0.0,16527.19,21994.515625,0.17759712040424347,17146.400697579385,22818.56640625,0.18425101041793823,67393.207,89687.4140625,0.7241908311843872,415530.78125,552991.6875,4.465191841125488,33130.5,44090.33203125,0.3560121953487396,22855.518534991705,30416.306640625,0.24559979140758514,19254.96,25624.654296875,0.20690907537937164,84094,111912.9609375,0.9036534428596497,26520,35293.02734375,0.28497740626335144,0,0,0,18921.150390625,25180.41796875,0.20332203805446625,107349.5,142861.5625,1.1535513401031494,0.0,0.0,0.0,255810.96875,340435.28125,2.7488818168640137,318812.0,424277.5625,3.425875663757324,887415.5,1180979.625,9.535948753356934,72487.5,96466.9453125,0.7789329290390015,25891.0,34455.94921875,0.2782183289527893,58253.0,77523.5546875,0.6259724497795105
Florida,14015765.0,18652292.0,4.760084629058838,2971961.5,3955110.0,1.0093482732772827,663336.5,882773.5,0.22528474032878876,445016.5,592231.5,0.15113811194896698,568425.542,756465.25,0.19305074214935303,148077.67116216393,197062.9375,0.05029067024588585,251433.103,334609.1875,0.08539261668920517,2044007.875,2720182.0,0.6941933631896973,358387.625,476945.09375,0.12171689420938492,886505.6064434848,1179768.75,0.3010782301425934,383357.73960000003,510175.53125,0.13019733130931854,2323152,3091669.25,0.7889972925186157,1093505,1455245.125,0.371380090713501,0,0,0,0.0,0.0,0.0,963944.5,1282825.0,0.3273783028125763,114007.5,151722.09375,0.03871963918209076,2373484.25,3158651.75,0.80609130859375,3022396.0,4022228.75,1.0264770984649658,10145271.0,13501407.0,3.445573329925537,940332.0,1251401.25,0.3193589150905609,295983.0,393896.53125,0.10052281618118286,1218151.5,1621125.75,0.4137130081653595
