,PK12ed,PK12ed_real,PK12ed_realperch,highered,highered_real,highered_realperch,edsubs,edsubs_real,edsubs_realperch,edservs,edservs_real,edservs_realperch,pell,pell_real,pell_realperch,HeadStartPriv,HeadStartPriv_real,HeadStartPriv_realperch,TANFbasic,TANFbasic_real,TANFbasic_realperch,othercashserv,othercashserv_real,othercashserv_realperch,SNAP,SNAP_real,SNAP_realperch,socsec,socsec_real,socsec_realperch,fedSSI,fedSSI_real,fedSSI_realperch,fedEITC,fedEITC_real,fedEITC_realperch,CTC,CTC_real,CTC_realperch,addCC,addCC_real,addCC_realperch,stateEITC,stateEITC_real,stateEITC_realperch,unemp,unemp_real,unemp_realperch,wcomp,wcomp_real,wcomp_realperch,Medicaid_CHIP,Medicaid_CHIP_real,Medicaid_CHIP_realperch,pubhealth,pubhealth_real,pubhealth_realperch,other_health,other_health_real,other_health_realperch,HCD,HCD_real,HCD_realperch,lib,lib_real,lib_realperch,parkrec,parkrec_real,parkrec_realperch
Alabama,5478034,6450460.5,5.407318592071533,1526770,1797792.75,1.5070611238479614,244420,287807.90625,0.24126479029655457,266117,313356.4375,0.2626817226409912,216747.558,255223.234375,0.21394957602024078,88836.15899132621,104605.8046875,0.08768938481807709,34578.824,40717.04296875,0.0341324508190155,647508.1875,762449.8125,0.63914954662323,302786.25,356535.0,0.29887762665748596,407208.7980447235,479493.96875,0.40195217728614807,183984.78336,216644.625,0.18160974979400635,1140075,1342454.0,1.1253578662872314,464369,546800.875,0.4583744704723358,0,0,0,0.0,0.0,0.0,200788,236430.640625,0.19819605350494385,0,0.0,0.0,1146903.0,1350494.125,1.1320977210998535,794961,936077.5625,0.7846989631652832,6150539.0,7242344.5,6.071142196655273,380902,448517.34375,0.37598496675491333,79488,93598.21875,0.0784619003534317,367710,432983.59375,0.3629632592201233
Alaska,1509377,1777312.25,9.063064575195312,380457,447993.375,2.284456729888916,12262,14438.673828125,0.07362726330757141,60270,70968.7578125,0.36189162731170654,15033.331,17701.955078125,0.09026774019002914,12336.713,14526.6494140625,0.07407587766647339,36401.528,42863.30078125,0.2185732126235962,289052.46875,340363.28125,1.7356175184249878,41185.26953125,48496.22265625,0.2472972273826599,45247.35840429887,53279.38671875,0.2716880440711975,6746.493600000001,7944.08935546875,0.04050936549901962,68790,81001.171875,0.41304999589920044,90165,106170.53125,0.5413963794708252,0,0,0,0.0,0.0,0.0,105824,124609.21875,0.6354209184646606,3054,3596.127197265625,0.018337763845920563,402720.125,474208.5,2.418135643005371,159430,187731.015625,0.9572984576225281,772790.875,909971.9375,4.640228271484375,185911,218912.765625,1.11630380153656,27095,31904.736328125,0.1626921147108078,65335,76932.8671875,0.3923044800758362
Arizona,6367593,7497928.5,4.514059066772461,1723758,2029748.875,1.2219916582107544,287576,338624.71875,0.2038659006357193,176716,208085.53125,0.12527598440647125,204634.88,240960.390625,0.1450679898262024,77304.6853920132,91027.3359375,0.054802168160676956,137114.201,161453.859375,0.09720180928707123,1127348.75,1327468.75,0.7991903424263,351332.09375,413698.375,0.24906329810619354,345170.6109017877,406443.15625,0.24469536542892456,113630.82528,133801.859375,0.08055417984724045,817955,963153.3125,0.579857587814331,652796,768676.3125,0.46277451515197754,0,0,0,0.0,0.0,0.0,185399,218309.875,0.131431445479393,360788,424832.84375,0.25576668977737427,3330411.75,3921605.75,2.360966682434082,1503409,1770284.875,1.0657837390899658,2202817.25,2593847.75,1.5616021156311035,364550,429262.65625,0.25843364000320435,152532,179608.53125,0.10813166201114655,511167,601906.1875,0.3623720705509186
Arkansas,3533593,4160854.5,5.643918037414551,823915,970171.25,1.3159717321395874,216051,254403.03125,0.34508052468299866,107013,126009.28125,0.17092308402061462,151490.25,178381.859375,0.24196293950080872,63186.60528654742,74403.1015625,0.10092278569936752,15301.923,18018.224609375,0.024440504610538483,485124.0625,571240.25,0.7748488187789917,196003.78125,230797.15625,0.3130607604980469,231291.5735543789,272349.03125,0.3694230616092682,124501.40435999999,146602.125,0.19885587692260742,596389,702256.25,0.9525631666183472,272564,320947.875,0.4353441298007965,0,0,0,0.0,0.0,0.0,216181,254556.109375,0.3452881872653961,14684,17290.61328125,0.023453548550605774,1137660.125,1339610.5,1.8170912265777588,251076,295645.4375,0.4010230600833893,2479001.0,2919057.75,3.9595048427581787,163735,192800.21875,0.26152047514915466,62115,73141.265625,0.099211186170578,116612,137312.234375,0.18625476956367493
California,53012464,62422908.0,6.300954341888428,13427017,15810498.0,1.5959081649780273,2665885,3139116.25,0.31686168909072876,1228026,1446017.5,0.14596068859100342,1484194.143,1747659.125,0.1764083206653595,520198.81648048304,612541.25,0.06182977929711342,3479718.022,4097416.0,0.41359227895736694,14257587.0,16788506.0,1.694628119468689,1526542.125,1797524.375,0.18144170939922333,1703912.5997980635,2006380.625,0.2025236189365387,473695.2907795992,557782.75,0.05630246922373772,4749976,5593162.0,0.5645725131034851,3474941,4091791.0,0.4130244851112366,0,0,0,0.0,0.0,0.0,4114800,4845233.5,0.48907679319381714,2683115,3159405.0,0.3189096450805664,10106609.0,11900671.0,1.2012511491775513,11261338,13260381.0,1.338499903678894,30643784.0,36083480.0,3.642258405685425,5492528,6467527.5,0.6528307795524597,1093341,1287424.125,0.1299523115158081,4165211,4904593.5,0.49506857991218567
Colorado,6030663,7101189.0,5.736044883728027,899135,1058743.875,0.855209231376648,205033,241429.1875,0.19501644372940063,90904,107040.7109375,0.08646302670240402,162601.693,191465.734375,0.15465804934501648,43420.05938915342,51127.71875,0.041298843920230865,62977.079,74156.375,0.0599004328250885,926983.9375,1091536.375,0.8816976547241211,168219.84375,198081.1875,0.160001739859581,221536.3194418593,260862.078125,0.21071352064609528,43039.0422,50679.06640625,0.040936440229415894,482506,568157.4375,0.45893391966819763,528570,622398.4375,0.5027475357055664,0,0,0,0.0,0.0,0.0,284291,334756.5625,0.2704024016857147,390745,460107.625,0.37165579199790955,872310.5625,1027157.6875,0.8296952247619629,927085,1091655.375,0.881793737411499,2971429.5,3498899.25,2.8262650966644287,569043,670056.0,0.541243314743042,191138,225067.625,0.1818002611398697,769869,906531.375,0.7322583198547363
Connecticut,6540369,7701374.5,8.669975280761719,997031,1174017.75,1.32167387008667,172745,203409.625,0.22899243235588074,264108,310990.8125,0.35010409355163574,91551.498,107803.1484375,0.12136153876781464,39907.68041536331,46991.84375,0.05290200188755989,124148.328,146186.375,0.16457222402095795,1197866.625,1410504.5,1.5879034996032715,96110.984375,113172.0078125,0.12740564346313477,197756.89530655462,232861.46875,0.2621484398841858,43360.55208000001,51057.6484375,0.05747916176915169,302202,355847.03125,0.400601863861084,370781,436599.75,0.4915108382701874,0,0,0,0.0,0.0,0.0,514600,605948.625,0.6821587085723877,38752,45631.015625,0.05137002468109131,712909.75,839461.0625,0.9450399875640869,640634,754355.375,0.8492305874824524,3769955.25,4439174.5,4.997488975524902,608199,716162.6875,0.8062343597412109,136377,160585.796875,0.18078266084194183,219658,258650.328125,0.2911807596683502
Delaware,1371464,1614917.75,7.456242561340332,295956,348492.28125,1.609025001525879,75297,88663.2578125,0.4093674421310425,90843,106968.8828125,0.49388641119003296,22056.9,25972.3046875,0.11991681903600693,13091.612,15415.5537109375,0.07117521017789841,18335.253,21590.013671875,0.09968332946300507,272719.75,321131.28125,1.4826964139938354,36421.07421875,42886.31640625,0.19801056385040283,58157.341718633805,68481.0703125,0.3161841928958893,20526.504479999996,24170.2421875,0.11159650981426239,112117,132019.3125,0.6095468401908875,96042,113090.78125,0.5221518278121948,0,0,0,4840.0,5699.16650390625,0.026313642039895058,85492,100668.0078125,0.4647946357727051,5388,6344.4443359375,0.029292955994606018,297201.125,349958.4375,1.6157944202423096,331112,389888.9375,1.8001576662063599,661733.875,779200.75,3.5976505279541016,113613,133780.875,0.6176801323890686,24033,28299.189453125,0.1306602954864502,63722,75033.53125,0.34643757343292236
District of Columbia,1249522,1471329.375,12.83714485168457,84468,99462.234375,0.8677942156791687,0,0.0,0.0,0,0.0,0.0,22174.771,26111.09765625,0.22781571745872498,11079.816372012168,13046.63671875,0.1138300970196724,62137.218,73167.4296875,0.6383756995201111,529729.75,623764.0625,5.442255020141602,45827.41015625,53962.40625,0.4708145260810852,29383.411808803714,34599.37109375,0.30187472701072693,28476.580200000004,33531.56640625,0.2925582826137543,89145,104969.46875,0.9158440828323364,32164,37873.5546875,0.33044150471687317,0,0,0,28080.67578125,33065.3828125,0.288490891456604,88469,104173.46875,0.9088990688323975,0,0.0,0.0,318763.625,375348.5625,3.2748641967773438,486658,573046.5,4.999751567840576,1090183.375,1283706.0,11.200157165527344,429897,506209.65625,4.416609287261963,35679,42012.515625,0.3665533661842346,102155,120288.921875,1.0495041608810425
Florida,20139820,23714916.0,5.56333065032959,3978852,4685153.0,1.0990996360778809,1416346,1667767.0,0.39124488830566406,452314,532606.0,0.12494513392448425,710127.328,836184.75,0.19616229832172394,166787.5112093037,196394.59375,0.04607260972261429,169525.763,199618.921875,0.04682901129126549,3309889.25,3897440.25,0.914308488368988,751219.375,884571.1875,0.20751337707042694,1080493.5509062747,1272296.0,0.29847052693367004,507288.71424,597339.4375,0.14013108611106873,3205631,3774674.75,0.8855087161064148,1576527,1856382.25,0.43549251556396484,0,0,0,0.0,0.0,0.0,717549,844923.8125,0.1982124149799347,211225,248720.34375,0.05834781751036644,3628631.75,4272764.0,1.0023565292358398,3799305,4473734.0,1.0495024919509888,16415033.0,19328928.0,4.534412860870361,1460285,1719505.75,0.40338239073753357,450529,530504.125,0.12445205450057983,1797591,2116688.25,0.4965582489967346
