,PK12ed,PK12ed_real,PK12ed_realperch,highered,highered_real,highered_realperch,edsubs,edsubs_real,edsubs_realperch,edservs,edservs_real,edservs_realperch,pell,pell_real,pell_realperch,HeadStartPriv,HeadStartPriv_real,HeadStartPriv_realperch,TANFbasic,TANFbasic_real,TANFbasic_realperch,othercashserv,othercashserv_real,othercashserv_realperch,SNAP,SNAP_real,SNAP_realperch,socsec,socsec_real,socsec_realperch,fedSSI,fedSSI_real,fedSSI_realperch,fedEITC,fedEITC_real,fedEITC_realperch,CTC,CTC_real,CTC_realperch,addCC,addCC_real,addCC_realperch,stateEITC,stateEITC_real,stateEITC_realperch,unemp,unemp_real,unemp_realperch,wcomp,wcomp_real,wcomp_realperch,Medicaid_CHIP,Medicaid_CHIP_real,Medicaid_CHIP_realperch,pubhealth,pubhealth_real,pubhealth_realperch,other_health,other_health_real,other_health_realperch,HCD,HCD_real,HCD_realperch,lib,lib_real,lib_realperch,parkrec,parkrec_real,parkrec_realperch
Alabama,6600333,6751521.0,5.780109882354736,1914022,1957864.75,1.6761665344238281,562813,575704.875,0.4928722679615021,298351,305185.0625,0.26127493381500244,486064.751,497198.59375,0.42566150426864624,107499.40345509762,109961.796875,0.09414045512676239,39734.089,40644.2421875,0.0347963348031044,651742.9375,666671.8125,0.5707508325576782,583933.1875,597308.8125,0.5113677978515625,494840.5014387981,506175.375,0.433346688747406,209424.576,214221.671875,0.18339939415454865,1444910,1478007.25,1.2653510570526123,388539,397438.90625,0.3402552604675293,492708,503994.03125,0.43147921562194824,0.0,0.0,0.0,327737,335244.1875,0.2870091497898102,0,0.0,0.0,2276878.25,2329032.75,1.993930697441101,822953,841803.625,0.7206846475601196,8467586.0,8661545.0,7.415318965911865,423378,433075.9375,0.370764821767807,90167,92232.375,0.07896195352077484,375783,384390.71875,0.32908445596694946
Alaska,2202685,2253140.0,11.504827499389648,512321,524056.28125,2.6758999824523926,19758,20210.578125,0.1031978577375412,118501,121215.3984375,0.6189417243003845,41388.339,42336.38671875,0.2161751389503479,14677.625,15013.83203125,0.0766625925898552,39787.96,40699.34765625,0.2078161984682083,474309.0625,485173.625,2.4773600101470947,76666.3984375,78422.5234375,0.4004356861114502,54061.156987546805,55299.48828125,0.28236642479896545,8611.790760000002,8809.0537109375,0.044980183243751526,98599,100857.515625,0.5149917006492615,83207,85112.9453125,0.43459784984588623,42069,43032.63671875,0.21973027288913727,0.0,0.0,0.0,198753,203305.65625,1.0381052494049072,4747,4855.7353515625,0.024794019758701324,603445.9375,617268.5625,3.1518540382385254,260367,266331.0,1.3599209785461426,1229225.0,1257381.75,6.420355796813965,319487,326805.21875,1.6687102317810059,35306,36114.72265625,0.18440650403499603,69719,71315.9921875,0.3641487956047058
Arizona,7065613,7227458.5,4.230103969573975,2274994,2327105.25,1.3620136976242065,1769685,1810221.625,1.0594907999038696,248239,253925.1875,0.1486179381608963,609560.585,623523.25,0.3649371564388275,90772.76213753897,92852.015625,0.054344646632671356,32050.396,32784.546875,0.01918821781873703,1429214.625,1461952.375,0.8556549549102783,728043.625,744720.25,0.4358716309070587,426164.4283188422,435926.1875,0.25513991713523865,159450.97896,163103.375,0.09546153247356415,1522532,1557407.25,0.9115229845046997,570517,583585.3125,0.3415621817111969,681612,697225.0625,0.4080735445022583,0.0,0.0,0.0,442997,453144.34375,0.2652173936367035,0,0.0,0.0,3794812.5,3881737.0,2.2719123363494873,2237747,2289005.0,1.3397142887115479,5227032.5,5346763.5,3.129366397857666,504095,515641.84375,0.3017960786819458,159946,163609.734375,0.09575789421796799,565369,578319.375,0.338480144739151
Arkansas,4299286,4397766.0,5.903223991394043,1361441,1392626.375,1.8693548440933228,479481,490464.03125,0.6583613157272339,137921,141080.234375,0.18937528133392334,313789.334,320977.03125,0.4308549463748932,72256.99091371155,73912.1171875,0.09921395778656006,11104.361,11358.71875,0.015247073024511337,592771.625,606349.6875,0.813917338848114,301992.28125,308909.75,0.41465675830841064,287123.6435044727,293700.53125,0.394241064786911,221093.81388000003,226158.21875,0.3035774528980255,794507,812706.0625,1.090914249420166,245324,250943.421875,0.3368472158908844,288013,294610.25,0.3954622149467468,0.0,0.0,0.0,351488,359539.21875,0.48261788487434387,15622,15979.8388671875,0.021450109779834747,2349730.0,2403553.25,3.2263455390930176,351968,360030.21875,0.48327696323394775,3872146.0,3960841.75,5.31673002243042,161526,165225.9375,0.22178663313388824,80321,82160.84375,0.1102864146232605,190296,194654.9375,0.2612898647785187
California,59043948,60396416.0,6.239968299865723,23708538,24251608.0,2.5055999755859375,4532899,4636730.0,0.4790523946285248,864625,884430.1875,0.09137655049562454,4124755.025,4219237.0,0.43591833114624023,654301.8806460558,669289.375,0.06914887577295303,3076015.144,3146474.75,0.3250839114189148,18352846.0,18773238.0,1.9395921230316162,3972555.25,4063551.0,0.41983333230018616,1929948.9126604488,1974156.5,0.20396365225315094,761481.5626559154,778924.125,0.08047600090503693,7748313,7925796.5,0.8188684582710266,3084688,3155346.25,0.32600048184394836,3592644,3674937.5,0.3796830177307129,0.0,0.0,0.0,8260153,8449361.0,0.8729614615440369,1511574,1546198.25,0.1597483605146408,21428460.0,21919302.0,2.2646336555480957,15756790,16117717.0,1.6652319431304932,55533304.0,56805356.0,5.868951320648193,6491345,6640036.5,0.6860277652740479,1236401,1264722.125,0.13066712021827698,4452883,4554881.0,0.4705960154533386
Colorado,7405899,7575539.5,5.766685962677002,1890190,1933486.875,1.4718174934387207,381541,390280.625,0.29709115624427795,146680,150039.875,0.11421401798725128,394742.55,403784.5625,0.30737069249153137,58462.11267647946,59801.25390625,0.04552217572927475,79295.381,81111.7265625,0.06174422800540924,1228930.625,1257080.625,0.9569205045700073,377508.375,386155.625,0.2939510941505432,285965.5624274839,292515.90625,0.22267025709152222,72872.85408,74542.0859375,0.056743256747722626,810024,828578.5,0.6307342052459717,506905,518516.21875,0.39470723271369934,386764,395623.25,0.3011581003665924,72902.15625,74572.0625,0.056766077876091,730647,747383.25,0.5689263939857483,425826,435580.03125,0.3315741717815399,1947905.625,1992524.625,1.5167584419250488,1311992,1342044.625,1.021597146987915,6050165.5,6188751.0,4.711028575897217,674388,689835.625,0.5251197218894958,243478,249055.140625,0.18958686292171478,903873,924577.1875,0.7038107514381409
Connecticut,8310423,8500782.0,10.294519424438477,1314402,1344509.875,1.6282129287719727,319011,326318.3125,0.3951742649078369,299286,306141.46875,0.3707399368286133,268470.384,274620.0,0.33256715536117554,48983.13968730927,50105.15234375,0.06067776679992676,83415.438,85326.1640625,0.10333071649074554,1296815.5,1326520.5,1.6064276695251465,248287.09375,253974.390625,0.3075651526451111,215168.2204687511,220096.890625,0.26653921604156494,67027.5108,68562.8515625,0.08303020149469376,497420,508813.96875,0.6161780953407288,264525,270584.25,0.327679842710495,184567,188794.71875,0.22863201797008514,134303.40625,137379.78125,0.16636809706687927,1006205,1029253.25,1.2464344501495361,31411,32130.50390625,0.038910314440727234,1310414.375,1340430.875,1.623273253440857,847925,867347.6875,1.0503654479980469,5534640.5,5661417.5,6.856025218963623,1021244,1044636.75,1.265064001083374,168876,172744.296875,0.2091948240995407,235598,240994.640625,0.2918465733528137
Delaware,1721283,1760710.875,8.147892951965332,348416,356396.84375,1.6492676734924316,252960,258754.328125,1.1974155902862549,155379,158938.125,0.7355045676231384,68465.875,70034.1640625,0.32409119606018066,15172.449,15519.9912109375,0.07182055711746216,21316.942,21805.23046875,0.10090623050928116,271069.0625,277278.1875,1.2831369638442993,97175.5859375,99401.5,0.4599919617176056,65506.84187968637,67007.3515625,0.3100842833518982,26383.56432,26987.908203125,0.12488967180252075,178189,182270.609375,0.8434783220291138,77695,79474.6875,0.36777833104133606,68331,69896.1953125,0.32345274090766907,29935.751953125,30621.462890625,0.14170436561107635,120257,123011.6171875,0.5692505240440369,5868,6002.4130859375,0.02777686156332493,540281.5,552657.25,2.557485342025757,463282,473894.0,2.1929993629455566,1280561.5,1309894.125,6.0616865158081055,135419,138520.921875,0.6410216093063354,32750,33500.17578125,0.15502594411373138,61232,62634.5859375,0.28984880447387695
District of Columbia,2058261,2105407.75,16.982929229736328,99165,101436.484375,0.8182209134101868,0,0.0,0.0,0,0.0,0.0,48690.487,49805.796875,0.4017503559589386,11555.9657897138,11820.66796875,0.0953494980931282,60333.791,61715.8046875,0.49782052636146545,620037.1875,634239.8125,5.115992546081543,81473.078125,83339.3125,0.6722429990768433,27757.92074883407,28393.74609375,0.22903354465961456,31827.248400000004,32556.287109375,0.26260998845100403,129888,132863.234375,1.0717196464538574,26642,27252.263671875,0.21982595324516296,43893,44898.41796875,0.36216580867767334,46759.6796875,47830.76171875,0.38581907749176025,210283,215099.765625,1.735067367553711,0,0.0,0.0,462890.15625,473493.15625,3.8193557262420654,392287,401272.78125,3.2368016242980957,2319469.75,2372599.75,19.13819122314453,583413,596776.75,4.813802719116211,47805,48900.02734375,0.39444413781166077,172977,176939.234375,1.4272515773773193
Florida,23146180,23676368.0,5.517441749572754,5944295,6080455.5,1.416963815689087,1804958,1846302.625,0.43025463819503784,1380956,1412588.375,0.3291836678981781,2068364.204,2115742.5,0.4930437505245209,176902.20462463854,180954.34375,0.042168840765953064,165543.951,169335.921875,0.03946133330464363,3002830.0,3071613.25,0.7157958745956421,2150823.75,2200090.75,0.5126999020576477,1318965.8284610147,1349178.25,0.3144068419933319,806493.54492,824967.1875,0.19224689900875092,5404377,5528170.0,1.2882615327835083,1325960,1356332.625,0.31607407331466675,1833928,1875936.125,0.43716028332710266,0.0,0.0,0.0,1376311,1407836.875,0.32807639241218567,72534,74195.46875,0.017290201038122177,6918668.0,7077148.0,1.6492289304733276,5025810,5140932.0,1.1980212926864624,22872308.0,23396224.0,5.452157974243164,2388680,2443395.25,0.5693985819816589,485749,496875.625,0.11578981578350067,2291019,2343497.25,0.5461187958717346
Georgia,15270387,15620172.0,5.946176528930664,2712128,2774252.25,1.0560827255249023,935500,956928.6875,0.36427685618400574,885069,905342.5,0.344639390707016,1176264.584,1203208.25,0.4580288231372833,189227.38082275772,193561.84375,0.07368375360965729,42584.012,43559.4453125,0.016581902280449867,1591260.0,1627709.625,0.6196249723434448,1286673.5,1316146.125,0.5010212063789368,741730.6974403508,758720.875,0.28882449865341187,351421.06752,359470.75,0.1368407905101776,3063653,3133829.25,1.19296395778656,775637,793403.8125,0.3020273447036743,1168346,1195108.25,0.4549453556537628,0.0,0.0,0.0,836212,855366.375,0.3256148099899292,0,0.0,0.0,3785420.5,3872129.75,1.4740149974822998,2083955,2131690.25,0.8114767670631409,10776400.0,11023245.0,4.196250915527344,1142692,1168866.625,0.44495588541030884,143637,146927.171875,0.05593119561672211,616811,630939.75,0.24018168449401855
Hawaii,1890456,1933759.0,5.976655960083008,571453,584542.75,1.8066424131393433,105100,107507.4296875,0.3322724997997284,10108,10339.53515625,0.03195633366703987,94836.308,97008.640625,0.29982396960258484,26060.039,26656.97265625,0.08238852769136429,58651.158,59994.62890625,0.18542499840259552,493616.84375,504923.6875,1.5605642795562744,211735.375,216585.40625,0.669399082660675,84535.84334012648,86472.234375,0.2672591507434845,11990.16864,12264.81640625,0.03790678456425667,246619,252268.078125,0.7796832323074341,130044,133022.796875,0.41113266348838806,99056,101324.984375,0.31316444277763367,0.0,0.0,0.0,241699,247235.390625,0.7641287446022034,0,0.0,0.0,447781.90625,458038.84375,1.415657639503479,524693,536711.6875,1.6588112115859985,2426984.0,2482576.75,7.6728835105896,265495,271576.46875,0.8393595814704895,34070,34850.41015625,0.10771192610263824,235357,240748.109375,0.7440785765647888
Idaho,1831321,1873269.5,4.13282585144043,518037,529903.1875,1.169077754020691,74841,76555.3125,0.1688970923423767,79210,81024.390625,0.17875681817531586,171506.323,175434.859375,0.3870461583137512,16076.161622893631,16444.404296875,0.03627980872988701,6664.547,6817.2060546875,0.01504018809646368,274629.4375,280920.125,0.6197687983512878,144874.859375,148193.375,0.3269457221031189,107639.59492391301,110105.1953125,0.24291518330574036,40532.874840000004,41461.32421875,0.09147238731384277,317425,324695.96875,0.7163475155830383,178721,182814.796875,0.4033278524875641,154094,157623.6875,0.3477509617805481,0.0,0.0,0.0,149623,153050.28125,0.3376610577106476,129291,132252.546875,0.2917768955230713,644490.875,659253.625,1.4544519186019897,257784,263688.84375,0.5817529559135437,1871143.125,1914003.75,4.222694396972656,127408,130326.421875,0.287527471780777,56447,57739.98046875,0.12738652527332306,119936,122683.265625,0.2706650495529175
Illinois,23319288,23853442.0,7.547201156616211,5119123,5236382.0,1.6567851305007935,1135407,1161414.75,0.36747026443481445,653457,668425.1875,0.21148894727230072,1116882.808,1142466.25,0.36147499084472656,236315.17508633435,241728.234375,0.07648252695798874,77417.612,79190.9453125,0.02505592256784439,5386589.5,5509975.5,1.7433497905731201,1380281.75,1411898.625,0.446723073720932,754567.5245857988,771851.75,0.24421298503875732,314888.472,322101.34375,0.1019124835729599,2582429,2641582.5,0.8357936143875122,1087445,1112354.125,0.351947546005249,1080873,1105631.625,0.3498205542564392,232418.609375,237742.421875,0.07522141933441162,2874247,2940084.75,0.9302393794059753,12442,12726.998046875,0.004026807378977537,5165022.5,5283333.0,1.671640396118164,2816243,2880752.25,0.9114665985107422,11267842.0,11525944.0,3.6467950344085693,1888988,1932257.375,0.61136394739151,643663,658406.8125,0.20831914246082306,2026624,2073046.125,0.6559093594551086
