,PK12ed,PK12ed_real,PK12ed_realperch,highered,highered_real,highered_realperch,edsubs,edsubs_real,edsubs_realperch,edservs,edservs_real,edservs_realperch,pell,pell_real,pell_realperch,HeadStartPriv,HeadStartPriv_real,HeadStartPriv_realperch,TANFbasic,TANFbasic_real,TANFbasic_realperch,othercashserv,othercashserv_real,othercashserv_realperch,SNAP,SNAP_real,SNAP_realperch,socsec,socsec_real,socsec_realperch,fedSSI,fedSSI_real,fedSSI_realperch,fedEITC,fedEITC_real,fedEITC_realperch,CTC,CTC_real,CTC_realperch,addCC,addCC_real,addCC_realperch,stateEITC,stateEITC_real,stateEITC_realperch,unemp,unemp_real,unemp_realperch,wcomp,wcomp_real,wcomp_realperch,Medicaid_CHIP,Medicaid_CHIP_real,Medicaid_CHIP_realperch,pubhealth,pubhealth_real,pubhealth_realperch,other_health,other_health_real,other_health_realperch,HCD,HCD_real,HCD_realperch,lib,lib_real,lib_realperch,parkrec,parkrec_real,parkrec_realperch
Alabama,6589890,6589890,5.671337604522705,1809324,1809324,1.5571256875991821,675607,675607,0.5814353823661804,317134,317134,0.27292928099632263,434938.334,434938.34375,0.374313086271286,115742.88137409305,115742.8828125,0.09960969537496567,25672.715,25672.71484375,0.0220942422747612,909292.25,909292.25,0.7825477123260498,555892.0625,555892.0625,0.4784072935581207,484469.3496570841,484469.34375,0.4169400632381439,186143.922,186143.921875,0.1601976603269577,1392333,1392333,1.1982582807540894,383426,383426,0.3299809694290161,452968,452968,0.3898296356201172,0.0,0.0,0.0,196704,196704,0.16928578913211823,0,0,0.0,2288558.75,2288558.75,1.9695608615875244,803639,803639,0.6916212439537048,9464564.0,9464564.0,8.145316123962402,431095,431095,0.37100547552108765,99678,99678,0.08578407019376755,330073,330073,0.28406473994255066
Alaska,2074993,2074993,10.626983642578125,534733,534733,2.7386112213134766,33378,33378,0.17094393074512482,43775,43775,0.22419171035289764,35029.409,35029.41015625,0.17940156161785126,8152.028873471499,8152.02880859375,0.04175025224685669,39416.18,39416.1796875,0.2018682062625885,447387.8125,447387.8125,2.291276693344116,74580.453125,74580.453125,0.3819604516029358,54980.037735997714,54980.0390625,0.28157782554626465,8516.271959999998,8516.271484375,0.04361570253968239,103778,103778,0.5314943790435791,77275,77275,0.3957604467868805,45022,45022,0.23057815432548523,0.0,0.0,0.0,132158,132158,0.6768413186073303,4875,4875,0.024967094883322716,633217.9375,633217.9375,3.242997407913208,265330,265330,1.3588757514953613,1455623.0,1455623.0,7.45490837097168,283145,283145,1.4501144886016846,35844,35844,0.18357343971729279,91864,91864,0.4704773724079132
Arizona,7137123,7137123,4.145819187164307,2563081,2563081,1.4888451099395752,658760,658760,0.3826611638069153,47786,47786,0.027757979929447174,530848.644,530848.625,0.30835989117622375,83407.2323221823,83407.234375,0.04844967648386955,44727.521,44727.51953125,0.025981366634368896,2988505.5,2988505.5,1.7359660863876343,663255.0,663255.0,0.38527223467826843,426049.5402115502,426049.53125,0.24748407304286957,143704.66956,143704.671875,0.08347531408071518,1524773,1524773,0.885711669921875,576903,576903,0.3351120054721832,620675,620675,0.3605383038520813,0.0,0.0,0.0,278520,278520,0.1617869734764099,0,0,0.0,3957936.25,3957936.25,2.2990899085998535,2847428,2847428,1.6540168523788452,7951118.0,7951118.0,4.618653297424316,432158,432158,0.25103238224983215,169870,169870,0.09867425262928009,618931,618931,0.35952526330947876
Arkansas,4411761,4411761,5.927897930145264,1551943,1551943,2.085280656814575,478104,478104,0.6424082517623901,137966,137966,0.18537911772727966,273420.791,273420.78125,0.36738401651382446,81667.13148167181,81667.1328125,0.10973269492387772,7039.38,7039.3798828125,0.009458519518375397,562262.625,562262.625,0.7554886937141418,268087.625,268087.625,0.3602180778980255,278216.39733943105,278216.40625,0.3738276958465576,207526.29312000002,207526.296875,0.27884435653686523,789715,789715,1.0611069202423096,243802,243802,0.32758650183677673,278169,278169,0.3737640082836151,0.0,0.0,0.0,204938,204938,0.27536657452583313,14579,14579,0.019589189440011978,2804362.5,2804362.5,3.768104076385498,353822,353822,0.47541576623916626,4780825.5,4780825.5,6.423794269561768,167482,167482,0.2250385284423828,84946,84946,0.11413837224245071,197134,197134,0.2648806869983673
California,68892072,68892072,7.165300369262695,26706188,26706188,2.777647018432617,5182384,5182384,0.5390074253082275,1042184,1042184,0.10839507728815079,3726363.253,3726363.25,0.38757017254829407,677665.6523304587,677665.625,0.07048238813877106,2632008.637,2632008.75,0.2737489640712738,20692808.0,20692808.0,2.152209758758545,3691227.0,3691227.0,0.3839157521724701,1862780.9452277697,1862781.0,0.19374342262744904,684731.8754446446,684731.875,0.07121733576059341,7195591,7195591,0.7483962774276733,3079440,3079440,0.32028523087501526,3027145,3027145,0.3148461580276489,200000.0,200000.0,0.020801523700356483,5397144,5397144,0.5613440871238708,1511574,1511574,0.15721522271633148,21432466.0,21432466.0,2.229139804840088,19978300,19978300,2.077895402908325,78671320.0,78671320.0,8.182416915893555,6536906,6536906,0.6798880696296692,1359466,1359466,0.14139482378959656,5072765,5072765,0.5276062488555908
Colorado,8060420,8060420,6.062129974365234,2144389,2144389,1.6127651929855347,478980,478980,0.36023420095443726,168361,168361,0.12662196159362793,337515.314,337515.3125,0.2538405656814575,60688.04559515166,60688.046875,0.045642636716365814,74788.705,74788.703125,0.056247543543577194,1275828.25,1275828.25,0.9595326781272888,350188.53125,350188.53125,0.26337191462516785,285497.11779898836,285497.125,0.21471841633319855,68914.60632,68914.609375,0.05182971805334091,792843,792843,0.5962861776351929,501912,501912,0.37748104333877563,345721,345721,0.2600119709968567,71355.8671875,71355.8671875,0.053665757179260254,547071,547071,0.4114444851875305,409590,409590,0.30804693698883057,2244358.0,2244358.0,1.6879504919052124,850181,850181,0.6394093036651611,7114706.0,7114706.0,5.350871562957764,796001,796001,0.5986613035202026,247711,247711,0.18629999458789825,986675,986675,0.7420645356178284
Connecticut,8687640,8687640,10.810376167297363,1432095,1432095,1.7820128202438354,371773,371773,0.46261194348335266,306002,306002,0.3807704746723175,247650.323,247650.328125,0.3081611692905426,51866.77275579691,51866.7734375,0.06453989446163177,59229.283,59229.28125,0.07370135188102722,1332880.75,1332880.75,1.658556580543518,244041.5625,244041.5625,0.30367064476013184,207289.49354399723,207289.5,0.25793856382369995,65367.13344,65367.1328125,0.08133892714977264,494583,494583,0.6154293417930603,252671,252671,0.3144085705280304,177204,177204,0.22050198912620544,122409.296875,122409.296875,0.15231876075267792,687975,687975,0.8560746908187866,26546,26546,0.03303224593400955,1099090.125,1099090.125,1.367641568183899,960754,960754,1.1955044269561768,6326805.0,6326805.0,7.872695446014404,906442,906442,1.1279218196868896,174850,174850,0.21757280826568604,244496,244496,0.30423611402511597
Delaware,1832385,1832385,8.438220977783203,307848,307848,1.4176548719406128,292436,292436,1.346681833267212,167690,167690,0.7722204923629761,61801.217,61801.21875,0.28459757566452026,16011.159809724688,16011.16015625,0.0737321600317955,19611.962,19611.962890625,0.09031403064727783,323799.03125,323799.03125,1.49111008644104,98424.7578125,98424.7578125,0.4532507359981537,64185.19472701741,64185.1953125,0.29557591676712036,25954.810559999998,25954.810546875,0.11952315270900726,177779,177779,0.8186808228492737,76646,76646,0.3529585003852844,66196,66196,0.3048357665538788,29866.873046875,29866.873046875,0.1375383883714676,75790,75790,0.34901660680770874,5224,5224,0.024056771770119667,542368.4375,542368.4375,2.4976327419281006,474486,474486,2.185030937194824,1552508.5,1552508.5,7.149376392364502,142671,142671,0.6570068001747131,33493,33493,0.15423686802387238,69497,69497,0.32003703713417053
District of Columbia,2290288,2290288,17.657533645629883,104522,104522,0.8058378100395203,0,0,0.0,0,0,0.0,40405.593,40405.59375,0.31151676177978516,10437.674741295576,10437.6748046875,0.08047179877758026,99550.447,99550.4453125,0.7675083875656128,743946.5625,743946.5625,5.735637187957764,76809.2890625,76809.2890625,0.5921798944473267,26011.604107126845,26011.603515625,0.20054279267787933,31251.785520000005,31251.78515625,0.24094325304031372,122886,122886,0.9474195241928101,27334,27334,0.2107381373643875,41786,41786,0.3221593499183655,44238.95703125,44238.95703125,0.3410710096359253,114633,114633,0.8837910294532776,0,0,0.0,503708.09375,503708.09375,3.883460283279419,445790,445790,3.4369266033172607,2629563.0,2629563.0,20.273256301879883,667428,667428,5.145698547363281,51795,51795,0.3993261754512787,188716,188716,1.4549520015716553
Florida,24222830,24222830,5.503664016723633,6610633,6610633,1.5020004510879517,1713856,1713856,0.389404833316803,1505206,1505206,0.34199753403663635,1824428.714,1824428.75,0.4145280420780182,227717.22934336425,227717.234375,0.05173958092927933,167512.569,167512.5625,0.038060493767261505,3090322.5,3090322.5,0.7021514773368835,2112785.5,2112785.5,0.48004552721977234,1321105.8627033439,1321105.875,0.3001681864261627,783571.128,783571.125,0.17803502082824707,5350136,5350136,1.215603232383728,1375378,1375378,0.31249934434890747,1754124,1754124,0.39855411648750305,0.0,0.0,0.0,452374,452374,0.10278379917144775,56876,56876,0.012922783382236958,7243423.5,7243423.5,1.645776629447937,4816465,4816465,1.0943479537963867,24354066.0,24354066.0,5.533482074737549,2189867,2189867,0.49755918979644775,497638,497638,0.11306822299957275,2489806,2489806,0.5657082796096802
