,PK12ed,PK12ed_real,PK12ed_realperch,highered,highered_real,highered_realperch,edsubs,edsubs_real,edsubs_realperch,edservs,edservs_real,edservs_realperch,pell,pell_real,pell_realperch,HeadStartPriv,HeadStartPriv_real,HeadStartPriv_realperch,TANFbasic,TANFbasic_real,TANFbasic_realperch,othercashserv,othercashserv_real,othercashserv_realperch,SNAP,SNAP_real,SNAP_realperch,socsec,socsec_real,socsec_realperch,fedSSI,fedSSI_real,fedSSI_realperch,fedEITC,fedEITC_real,fedEITC_realperch,CTC,CTC_real,CTC_realperch,addCC,addCC_real,addCC_realperch,stateEITC,stateEITC_real,stateEITC_realperch,unemp,unemp_real,unemp_realperch,wcomp,wcomp_real,wcomp_realperch,Medicaid_CHIP,Medicaid_CHIP_real,Medicaid_CHIP_realperch,pubhealth,pubhealth_real,pubhealth_realperch,other_health,other_health_real,other_health_realperch,HCD,HCD_real,HCD_realperch,lib,lib_real,lib_realperch,parkrec,parkrec_real,parkrec_realperch
Alabama,4273211,5596258.0,4.741522789001465,1207854,1581822.75,1.3402255773544312,192301,251840.125,0.2133757323026657,295530,387030.3125,0.3279178738594055,230182.183,301449.875,0.2554084062576294,81008.52281599879,106089.9140625,0.08988644182682037,32884.665,43066.2265625,0.03648857772350311,1052212.25,1377992.125,1.1675267219543457,207975.03125,272367.0625,0.23076751828193665,332691.1233199274,435697.03125,0.3691515624523163,154346.2188,202134.0,0.17126139998435974,946111,1239040.5,1.0497976541519165,308437,403933.5,0.3422393798828125,0,0,0,0.0,0.0,0.0,337384,441842.90625,0.37435874342918396,0,0.0,0.0,822466.0625,1077113.25,0.9126021265983582,975687,1277773.625,1.0826148986816406,5114006.0,6697375.0,5.67446231842041,321985,421676.15625,0.3572721481323242,63525,83193.2421875,0.07048685848712921,293762,384714.90625,0.3259561061859131
Alaska,1243776,1628866.75,8.204307556152344,322144,421884.375,2.124955415725708,8728,11430.3134765625,0.05757242068648338,60084,78686.859375,0.3963314890861511,13623.18,17841.111328125,0.08986245095729828,11163.224206415653,14619.517578125,0.07363586872816086,55030.276,72068.4375,0.3629956841468811,252380.71875,330521.375,1.6647764444351196,30143.576171875,39476.45703125,0.19883577525615692,39127.39008657395,51241.7890625,0.2580956220626831,5417.420399999999,7094.73095703125,0.0357348769903183,53817,70479.5078125,0.354992538690567,64488,84454.40625,0.4253815710544586,0,0,0,0.0,0.0,0.0,124557,163121.625,0.821614146232605,2907,3807.048583984375,0.019175415858626366,298333.5625,390701.875,1.9678946733474731,158535,207619.6875,1.0457428693771362,483063.4375,632626.75,3.1864266395568848,119353,156306.390625,0.7872869968414307,23042,30176.130859375,0.15199171006679535,53869,70547.609375,0.3553355634212494
Arizona,4669031,6114629.5,4.0706963539123535,1479517,1937596.5,1.2899173498153687,163361,213939.890625,0.14242634177207947,140157,183551.609375,0.12219592928886414,191132.913,250310.390625,0.1666392982006073,74605.53524356557,97704.46875,0.06504485756158829,129764.915,169941.984375,0.11313559114933014,577120.0625,755804.6875,0.5031623244285583,225370.515625,295148.4375,0.1964893639087677,262790.61588887934,344154.34375,0.2291141003370285,82232.43072,107692.765625,0.07169437408447266,680698,891451.8125,0.5934668183326721,396034,518651.78125,0.3452823758125305,0,0,0,0.0,0.0,0.0,373664,489355.6875,0.3257790803909302,207243,271408.375,0.1806848794221878,1614497.5,2114369.0,1.4076002836227417,1013390,1327150.0,0.8835244178771973,1956886.5,2562766.5,1.706112265586853,264874,346882.75,0.23093047738075256,122951,161018.375,0.10719487071037292,463633,607180.375,0.4042185842990875
Arkansas,2578281,3376553.5,4.707263946533203,713231,934057.5,1.3021725416183472,162353,212619.796875,0.29641395807266235,216525,283564.21875,0.39531779289245605,140112.99,183493.96875,0.2558095455169678,53891.81750396454,70577.4921875,0.0983923077583313,26204.045,34317.19140625,0.04784170538187027,510015.96875,667924.1875,0.931155264377594,129357.296875,169408.15625,0.23617245256900787,176515.56199531019,231167.296875,0.32227107882499695,80992.99488,106069.578125,0.1478719413280487,516428,676321.4375,0.9428619146347046,179963,235682.109375,0.32856518030166626,0,0,0,0.0,0.0,0.0,334367,437891.78125,0.6104663610458374,11092,14526.2412109375,0.0202510803937912,817839.9375,1071054.875,1.4931610822677612,288255,377502.84375,0.5262779593467712,1862403.0,2439029.5,3.400258779525757,136680,178998.078125,0.24954180419445038,51412,67329.890625,0.0938648208975792,121893,159632.8125,0.2225446254014969
California,45392132,59446184.0,6.028861045837402,11993165,15706420.0,1.5928999185562134,1790304,2344607.75,0.23778337240219116,1451309,1900655.0,0.1927589625120163,1383625.653,1812015.875,0.18376943469047546,523706.1811181476,685853.0625,0.06955724209547043,2608215.707,3415756.5,0.3464162051677704,12552516.0,16438954.0,1.6671913862228394,1151362.25,1507840.375,0.15292082726955414,1426766.9492350612,1868514.375,0.18949934840202332,381624.9239637613,499781.4375,0.05068639665842056,4319076,5656323.5,0.5736480355262756,2517093,3296420.75,0.3343135118484497,0,0,0,0.0,0.0,0.0,4778395,6257854.0,0.6346535682678223,1491310,1953040.875,0.19807177782058716,7482064.5,9798618.0,0.9937476515769958,9628349,12609423.0,1.2788113355636597,23245702.0,30442902.0,3.0874314308166504,3602867,4718366.0,0.4785231053829193,897776,1175740.25,0.11924019455909729,3182895,4168364.75,0.422743558883667
Colorado,4824766,6318582.5,5.255670547485352,1215901,1592361.25,1.3244942426681519,148330,194255.078125,0.1615774929523468,117186,153468.453125,0.12765198945999146,141556.053,185383.828125,0.154198557138443,36938.715597225484,48375.46875,0.04023774713277817,52745.864,69076.734375,0.057456646114587784,1001501.125,1311580.125,1.090946078300476,83382.8515625,109199.3671875,0.09082984924316406,189613.39980410662,248320.40625,0.20654794573783875,35832.997200000005,46927.40234375,0.039033275097608566,404019,529109.0625,0.44010233879089355,350265,458712.03125,0.3815474808216095,0,0,0,0.0,0.0,0.0,550923,721496.625,0.6001264452934265,372112,487323.1875,0.4053456783294678,643140.3125,842265.6875,0.7005797624588013,952065,1246837.875,1.0370948314666748,2171726.75,2844124.25,2.3656857013702393,384153,503092.25,0.4184620678424835,145991,191191.890625,0.15902958810329437,679514,889901.1875,0.740202009677887
Connecticut,5341054,6994720.5,7.815854072570801,860563,1127005.625,1.2593085765838623,122152,159972.0,0.1787516474723816,195061,255454.671875,0.28544333577156067,72394.859,94809.3359375,0.10593932121992111,38341.7953472805,50212.9609375,0.05610762909054756,127800.941,167369.9375,0.18701805174350739,768872.0625,1006925.8125,1.1251322031021118,64005.19921875,83822.1171875,0.09366227686405182,166184.07999134972,217637.046875,0.24318619072437286,34332.139919999994,44961.859375,0.050240080803632736,251229,329013.09375,0.367637038230896,264615,346543.5625,0.387225478887558,0,0,0,0.0,0.0,0.0,689688,903225.25,1.0092579126358032,100000,130961.421875,0.1463354229927063,537646.5,704109.5,0.7867672443389893,486238,636784.1875,0.7115384340286255,3378001.5,4423879.0,4.943212985992432,415085,543601.25,0.6074163913726807,129203,169206.09375,0.18906976282596588,249233,326399.09375,0.36471617221832275
Delaware,1034662,1355008.125,6.481803894042969,308689,404263.5,1.933830976486206,59202,77531.78125,0.37088027596473694,41699,54609.60546875,0.2612299919128418,19455.152,25478.744140625,0.12187987565994263,12286.428,16090.4814453125,0.07697027176618576,19262.38,25226.287109375,0.12067222595214844,183506.625,240322.890625,1.1496062278747559,20550.451171875,26913.1640625,0.1287415474653244,47147.27312324764,61744.7421875,0.29536154866218567,15477.19152,20269.150390625,0.09695931524038315,94025,123136.4765625,0.5890344381332397,64292,84197.71875,0.4027673900127411,0,0,0,0.0,0.0,0.0,106234,139125.5625,0.6655197143554688,4768,6244.24072265625,0.029869889840483665,174438.703125,228447.40625,1.0927988290786743,253866,332466.53125,1.5903836488723755,348384.3125,456249.0625,2.182508707046509,101419,132819.765625,0.6353553533554077,22042,28866.517578125,0.13808558881282806,58863,77087.8203125,0.36875656247138977
District of Columbia,1006130,1317642.125,10.712189674377441,63234,82812.1484375,0.6732475757598877,0,0.0,0.0,0,0.0,0.0,19401.204,25408.09375,0.20656314492225647,10328.67967305988,13526.5859375,0.10996866971254349,66871.324,87575.640625,0.7119739055633545,482800.6875,632282.6875,5.140342712402344,34580.19140625,45286.7109375,0.36817267537117004,22674.566626247553,29694.935546875,0.2414143830537796,20975.82,27470.232421875,0.22332796454429626,88728,116199.453125,0.9446802735328674,24976,32708.92578125,0.26591756939888,0,0,0,19963.80078125,26144.87890625,0.21255308389663696,149476,195755.90625,1.5914596319198608,0,0.0,0.0,273999.0,358833.0,2.9172465801239014,376128,492582.59375,4.004606246948242,814872.0,1067168.0,8.675880432128906,87807,114993.296875,0.9348744750022888,26652,34903.83984375,0.2837618291378021,65521,85807.234375,0.697597086429596
Florida,14775646,19350396.0,4.855682849884033,3196930,4186745.0,1.0505989789962769,784557,1027467.0,0.25782695412635803,527852,691282.5,0.17346665263175964,675106.729,884129.375,0.22185860574245453,157911.4854003936,206803.125,0.05189404636621475,255865.425,335085.0,0.0840843990445137,2302064.5,3014816.5,0.7565215826034546,398818.5,522298.40625,0.13106271624565125,918422.7867535212,1202779.625,0.30181896686553955,409133.19876,535806.6875,0.13445240259170532,2679875,3509602.5,0.880680501461029,1054778,1381352.25,0.34662899374961853,0,0,0,0.0,0.0,0.0,1298552,1700602.25,0.4267398416996002,105000,137509.5,0.03450588509440422,2732042.75,3577922.0,0.897824227809906,3040538,3981932.0,0.9992042779922485,11042957.0,14462014.0,3.629018783569336,1062133,1390984.5,0.3490460515022278,317027,415183.0625,0.10418377071619034,1327863,1738988.25,0.43637222051620483
Georgia,10441286,13674057.0,5.768266677856445,2133234,2793713.75,1.178500771522522,609925,798766.5,0.3369518220424652,461940,604963.1875,0.25519779324531555,296079.028,387749.3125,0.16356824338436127,149029.09320384025,195170.625,0.08233081549406052,109194.498,143002.671875,0.06032427400350571,1046154.5,1370058.875,0.57794588804245,325556.25,426353.09375,0.17985287308692932,471720.6092006874,617772.0625,0.26060107350349426,166336.82184,217837.078125,0.09189243614673615,1550975,2031179.0,0.8568329215049744,627122,821287.9375,0.3464522659778595,0,0,0,0.0,0.0,0.0,832422,1090151.75,0.4598698019981384,0,0.0,0.0,2029639.0,2658044.25,1.1212698221206665,1312707,1719139.75,0.725202202796936,7552371.0,9890693.0,4.1722917556762695,567755,743540.0625,0.3136550784111023,106545,139532.84375,0.05886055901646614,451013,590653.0625,0.24916119873523712
