,PK12ed,PK12ed_real,PK12ed_realperch,highered,highered_real,highered_realperch,edsubs,edsubs_real,edsubs_realperch,edservs,edservs_real,edservs_realperch,pell,pell_real,pell_realperch,HeadStartPriv,HeadStartPriv_real,HeadStartPriv_realperch,TANFbasic,TANFbasic_real,TANFbasic_realperch,othercashserv,othercashserv_real,othercashserv_realperch,SNAP,SNAP_real,SNAP_realperch,socsec,socsec_real,socsec_realperch,fedSSI,fedSSI_real,fedSSI_realperch,fedEITC,fedEITC_real,fedEITC_realperch,CTC,CTC_real,CTC_realperch,addCC,addCC_real,addCC_realperch,stateEITC,stateEITC_real,stateEITC_realperch,unemp,unemp_real,unemp_realperch,wcomp,wcomp_real,wcomp_realperch,Medicaid_CHIP,Medicaid_CHIP_real,Medicaid_CHIP_realperch,pubhealth,pubhealth_real,pubhealth_realperch,other_health,other_health_real,other_health_realperch,HCD,HCD_real,HCD_realperch,lib,lib_real,lib_realperch,parkrec,parkrec_real,parkrec_realperch
Alabama,6671430,7492518.5,6.20924711227417,1853208,2081292.25,1.72482168674469,316707,355685.84375,0.29476621747016907,299099,335910.71875,0.27837803959846497,313103.825,351639.1875,0.2914126515388489,89566.23896155256,100589.6328125,0.08336127549409866,40713.175,45723.96484375,0.037892650812864304,675940.8125,759132.5,0.6291130781173706,343236.84375,385480.84375,0.31945812702178955,438387.6610262365,492342.375,0.4080170691013336,194871.28319999998,218855.140625,0.18137101829051971,1236759,1388973.625,1.1510789394378662,454900,510886.96875,0.42338547110557556,0,0,0,0.0,0.0,0.0,248613,279211.125,0.2313895970582962,0,0.0,0.0,1520305.875,1707418.125,1.4149823188781738,1006837,1130753.875,0.9370855093002319,5688311.0,6388402.0,5.294236660003662,382545,429626.875,0.35604310035705566,83039,93259.0546875,0.07728622853755951,387650,435360.15625,0.36079442501068115
Alaska,1897947,2131537.5,10.975708961486816,417039,468366.21875,2.411710500717163,14022,15747.7626953125,0.0810883492231369,62884,70623.46875,0.363654226064682,20576.543,23109.0078125,0.11899285763502121,12505.529,14044.6513671875,0.07231868803501129,33507.885,37631.87890625,0.1937739998102188,302346.125,339557.5,1.7484488487243652,45811.54296875,51449.81640625,0.2649253010749817,47618.75831786209,53479.453125,0.2753762900829315,7178.18112,8061.63818359375,0.04151097312569618,61815,69422.90625,0.35747230052948,93873,105426.453125,0.5428617000579834,0,0,0,0.0,0.0,0.0,109709,123211.4765625,0.6344403028488159,2771,3112.041748046875,0.016024518758058548,365873.78125,410903.84375,2.1158251762390137,184810,207555.5625,1.0687446594238281,846395.25,950565.625,4.894650459289551,223983,251549.796875,1.2952797412872314,31826,35742.99609375,0.18404775857925415,92656,104059.671875,0.5358238816261292
Arizona,7367909,8274717.0,4.800466060638428,1958964,2200064.25,1.276337742805481,347550,390324.84375,0.22644172608852386,223772,251312.828125,0.1457957625389099,309183.916,347236.84375,0.2014448046684265,77812.7772937957,87389.6171875,0.05069791525602341,121767.061,136753.59375,0.0793357640504837,1379471.0,1549249.875,0.8987765312194824,427932.0,480599.875,0.27881357073783875,373948.3605085468,419972.1875,0.2436412274837494,125725.28976,141198.96875,0.08191468566656113,1001197,1124419.75,0.6523170471191406,633759,711759.125,0.41291752457618713,0,0,0,0.0,0.0,0.0,324992,364990.5,0.21174433827400208,484812,544480.4375,0.31587302684783936,3114929.0,3498300.0,2.029491901397705,1779985,1999057.25,1.1597262620925903,3575770.0,4015859.25,2.329746961593628,456171,512314.40625,0.2972123324871063,173910,195314.03125,0.11330881714820862,622907,699571.5,0.4058470129966736
Arkansas,3846131,4319495.0,5.7796478271484375,958335,1076282.375,1.4401066303253174,249144,279807.5,0.3743930459022522,114106,128149.640625,0.1714690774679184,206850.163,232308.328125,0.3108373284339905,63938.73721425426,71808.0234375,0.09608185291290283,13515.457,15178.876953125,0.02030991204082966,536924.5625,603006.75,0.8068458437919617,207142.953125,232637.140625,0.3112773001194,254745.76216568454,286098.6875,0.38281089067459106,152684.23103999998,171475.90625,0.22944125533103943,655575,736260.125,0.9851439595222473,268893,301987.09375,0.4040701687335968,0,0,0,0.0,0.0,0.0,303794,341183.5625,0.4565165340900421,15500,17407.66796875,0.023292118683457375,1317051.25,1479147.875,1.9791558980941772,280242,314732.875,0.42112451791763306,2731090.75,3067220.75,4.104057312011719,148806,167120.359375,0.22361336648464203,77654,87211.296875,0.11669202148914337,142925,160515.546875,0.21477587521076202
California,60096496,67492896.0,6.817605495452881,18387120,20650122.0,2.085914134979248,1916280,2152126.75,0.21739104390144348,1657767,1861797.25,0.18806421756744385,2207383.775,2479058.25,0.2504151165485382,523202.91718539357,587596.3125,0.05935439094901085,3252007.95,3652250.0,0.36892178654670715,15804747.0,17749922.0,1.7929584980010986,1897847.625,2131426.0,0.21530000865459442,1817633.5559098988,2041339.5,0.20620018243789673,526809.1079391269,591646.3125,0.05976349115371704,5481142,6155735.5,0.6218043565750122,3428903,3850916.5,0.38898950815200806,0,0,0,0.0,0.0,0.0,5673096,6371314.5,0.643580436706543,2000740,2246981.75,0.2269725501537323,11482210.0,12895387.0,1.302591323852539,13516842,15180432.0,1.533408761024475,33578616.0,37711316.0,3.809302806854248,5902414,6628856.0,0.6695953011512756,1282624,1440483.375,0.1455063819885254,4501971,5056052.5,0.5107229351997375
Colorado,6887556,7735244.5,6.077263832092285,1003698,1127228.5,0.8856170773506165,236124,265185.0625,0.20834501087665558,87398,98154.5390625,0.0771159902215004,222760.659,250177.015625,0.1965537965297699,43357.473678003786,48693.7109375,0.03825664892792702,42639.891,47887.8125,0.037623487412929535,1132888.125,1272318.75,0.9996085166931152,168403.96875,189130.34375,0.14859193563461304,246358.62904824686,276679.3125,0.21737556159496307,48090.063599999994,54008.765625,0.04243246838450432,563786,633174.1875,0.49745893478393555,529173,594301.1875,0.466918021440506,0,0,0,0.0,0.0,0.0,335847,377181.5,0.29633599519729614,386169,433696.90625,0.34073781967163086,986305.375,1107695.25,0.8702706098556519,986022,1107377.0,0.8700205683708191,3592528.5,4034680.25,3.1698825359344482,504996,567148.5625,0.44558531045913696,209213,234961.96875,0.18459996581077576,856503,961917.4375,0.7557389736175537
Connecticut,7258782,8152159.5,9.281356811523438,978564,1099001.125,1.2512294054031372,256837,288447.3125,0.328401654958725,279347,313727.75,0.3571838140487671,134878.331,151478.53125,0.17246060073375702,40696.93624171305,45705.7265625,0.05203666165471077,100482.895,112849.8671875,0.12848128378391266,1298926.125,1458791.875,1.6608567237854004,111653.0703125,125394.8125,0.1427638977766037,210691.11166464907,236622.0,0.2693977355957031,48032.900160000005,53944.56640625,0.061416707932949066,345990,388572.84375,0.4423960745334625,343053,385274.375,0.4386407136917114,0,0,0,0.0,0.0,0.0,622022,698577.5625,0.7953411340713501,37540,42160.25,0.04800008609890938,528914.375,594010.6875,0.6762901544570923,748230,840318.6875,0.9567155838012695,4485165.5,5037179.0,5.734904766082764,618826,694988.25,0.7912546396255493,152062,170777.09375,0.1944323182106018,253249,284417.71875,0.32381388545036316
Delaware,1459954,1639638.375,7.452427387237549,253881,285127.5,1.2959516048431396,91781,103076.9765625,0.46850189566612244,101190,113644.0,0.5165307521820068,33642.356,37782.90234375,0.17172953486442566,13270.758,14904.0615234375,0.06774142384529114,13475.885,15134.4345703125,0.06878850609064102,277101.125,311205.4375,1.414480209350586,44555.44921875,50039.12890625,0.2274361103773117,62135.97667797726,69783.3828125,0.3171769976615906,22197.73248,24929.7265625,0.11330972611904144,128227,144008.578125,0.6545428037643433,91875,103182.546875,0.4689817428588867,0,0,0,5900.0,6626.14453125,0.03011692315340042,109606,123095.796875,0.5594907402992249,5883,6607.05224609375,0.0300301443785429,350070.65625,393155.71875,1.7869577407836914,408029,458247.3125,2.0828096866607666,786825.375,883664.1875,4.01639986038208,116370,130692.28125,0.5940180420875549,29920,33602.4140625,0.15272852778434753,65120,73134.6640625,0.332409143447876
District of Columbia,1631698,1832519.875,16.309507369995117,61806,69412.796875,0.6177769303321838,0,0.0,0.0,0,0.0,0.0,31624.97,35517.2265625,0.31610485911369324,10258.306858955442,11520.8515625,0.10253608226776123,21414.961,24050.615234375,0.2140515297651291,835277.0625,938079.0625,8.348944664001465,46390.140625,52099.625,0.4636889398097992,29947.215470149,33632.98046875,0.2993350028991699,30001.56192,33694.015625,0.29987820982933044,94078,105656.6875,0.9403491020202637,31519,35398.2109375,0.31504562497138977,0,0,0,33868.078125,38036.40234375,0.338525652885437,97081,109029.28125,0.9703653454780579,0,0.0,0.0,303553.78125,340913.78125,3.0341475009918213,440511,494727.0625,4.403092384338379,1329966.25,1493652.375,13.293571472167969,525889,590613.0,5.256481647491455,41807,46952.41015625,0.41787850856781006,145924,163883.65625,1.4585716724395752
Florida,23140320,25988324.0,6.07446813583374,4326097,4858533.0,1.1356254816055298,1777194,1995922.75,0.4665237069129944,611500,686760.5625,0.16052228212356567,1144626.773,1285502.125,0.30047115683555603,165704.14941146792,186098.25,0.04349830001592636,158913.733,178472.09375,0.041715774685144424,3724452.25,4182840.5,0.9776902794837952,786159.75,882916.625,0.2063714861869812,1144748.2609564038,1285638.625,0.30050304532051086,550356.98124,618092.375,0.1444718986749649,3825237,4296029.5,1.0041468143463135,1481341,1663657.625,0.3888605833053589,0,0,0,0.0,0.0,0.0,1395301,1567028.125,0.36627456545829773,226630,254522.578125,0.05949169024825096,4374849.0,4913285.0,1.148423194885254,4361785,4898613.5,1.1449939012527466,17796384.0,19986680.0,4.671653747558594,2150821,2415534.0,0.5646029710769653,498573,559935.0625,0.1308782994747162,2355364,2645251.25,0.6182966828346252
