,PK12ed,PK12ed_real,PK12ed_realperch,highered,highered_real,highered_realperch,edsubs,edsubs_real,edsubs_realperch,edservs,edservs_real,edservs_realperch,pell,pell_real,pell_realperch,HeadStartPriv,HeadStartPriv_real,HeadStartPriv_realperch,TANFbasic,TANFbasic_real,TANFbasic_realperch,othercashserv,othercashserv_real,othercashserv_realperch,SNAP,SNAP_real,SNAP_realperch,socsec,socsec_real,socsec_realperch,fedSSI,fedSSI_real,fedSSI_realperch,fedEITC,fedEITC_real,fedEITC_realperch,CTC,CTC_real,CTC_realperch,addCC,addCC_real,addCC_realperch,stateEITC,stateEITC_real,stateEITC_realperch,unemp,unemp_real,unemp_realperch,wcomp,wcomp_real,wcomp_realperch,Medicaid_CHIP,Medicaid_CHIP_real,Medicaid_CHIP_realperch,pubhealth,pubhealth_real,pubhealth_realperch,other_health,other_health_real,other_health_realperch,HCD,HCD_real,HCD_realperch,lib,lib_real,lib_realperch,parkrec,parkrec_real,parkrec_realperch
Alabama,4586366,5751271.0,4.878824710845947,1317353,1651951.375,1.40135657787323,210339,263763.625,0.22375167906284332,407757,511324.4375,0.4337584376335144,238487.436,299061.5625,0.2536950409412384,88905.3355709417,111486.671875,0.09457456320524216,44854.961,56247.80859375,0.04771522805094719,1185064.0,1486062.0,1.260632038116455,268604.59375,336828.28125,0.2857327163219452,363701.56171601487,456079.21875,0.38689371943473816,164509.32,206293.53125,0.17499957978725433,1022676,1282428.5,1.0878889560699463,461499,578716.5,0.49092739820480347,0,0,0,0.0,0.0,0.0,309614,388253.78125,0.3293571472167969,0,0.0,0.0,954481.875,1196913.625,1.0153462886810303,1063469,1333582.625,1.131283164024353,5637063.0,7068837.5,5.996521472930908,356652,447239.125,0.37939465045928955,75803,95056.4296875,0.08063672482967377,308811,387246.84375,0.32850295305252075
Alaska,1331808,1670077.875,8.476906776428223,341972,428830.5,2.1766388416290283,11601,14547.5732421875,0.07383992522954941,71370,89497.4765625,0.45426732301712036,15575.613,19531.708984375,0.09913818538188934,11982.855666642667,15026.4169921875,0.07627042382955551,43349.868,54360.4296875,0.2759202718734741,339288.125,425464.9375,2.1595561504364014,32910.89453125,41270.03125,0.20947659015655518,40500.184109717935,50786.9453125,0.25778213143348694,5736.21048,7193.16796875,0.036510761827230453,62054,77815.28125,0.3949713408946991,93971,117838.9765625,0.5981218218803406,0,0,0,0.0,0.0,0.0,309614,388253.78125,1.9706813097000122,2925,3667.929443359375,0.01861751452088356,384427.96875,482069.96875,2.446869373321533,141585,177546.59375,0.9011831283569336,660005.0,827641.625,4.200906753540039,148483,186196.640625,0.9450886249542236,24415,30616.23828125,0.15540054440498352,56787,71210.5,0.3614470958709717
Arizona,5506064,6904565.5,4.411798000335693,1541093,1932519.875,1.2348188161849976,217203,272371.03125,0.17403644323349,173187,217175.28125,0.13876810669898987,230454.963,288988.90625,0.18465472757816315,62742.16264595425,78678.234375,0.05027289316058159,182511.772,228868.484375,0.14623969793319702,1007868.25,1263859.75,0.807566225528717,330540.4375,414495.40625,0.26484939455986023,294108.9243678206,368810.53125,0.2356582134962082,96860.19720000001,121462.0078125,0.07761036604642868,739201,926952.875,0.5922934412956238,624716,783389.5,0.500560998916626,0,0,0,0.0,0.0,0.0,343639,430920.90625,0.2753447890281677,244636,306771.84375,0.19601747393608093,2406426.0,3017641.25,1.9281768798828125,1328627,1666089.0,1.0645779371261597,1977877.0,2480244.0,1.5847971439361572,336438,421890.90625,0.2695748805999756,127679,160108.578125,0.10230429470539093,438974,550470.3125,0.3517330586910248
Arkansas,2907074,3645450.5,5.048827648162842,744008,932980.8125,1.2921473979949951,186765,234202.0,0.32436197996139526,176933,221872.75,0.3072863817214966,156088.956,195734.453125,0.2710857093334198,63176.88466349566,79223.3671875,0.10972172766923904,16843.026,21121.037109375,0.029251933097839355,550732.0,690614.0625,0.9564775228500366,166849.765625,209228.4375,0.28977441787719727,193507.45803773112,242657.0,0.3360718786716461,96286.71875999999,120742.8671875,0.16722485423088074,546238,684978.625,0.9486725926399231,269860,338402.5625,0.46867629885673523,0,0,0,0.0,0.0,0.0,304145,381395.6875,0.5282203555107117,13879,17404.16796875,0.024104192852973938,985896.125,1236306.875,1.712243914604187,345224,432908.46875,0.5995638370513916,2166189.0,2716385.75,3.762104034423828,143820,180349.265625,0.24977773427963257,59810,75001.3203125,0.1038743332028389,131757,165222.359375,0.22882747650146484
California,48875660,61289736.0,6.169309139251709,13450433,16866748.0,1.6977750062942505,2128418,2669021.25,0.2686586380004883,1255792,1574754.375,0.15851180255413055,1527933.649,1916018.125,0.19286276400089264,515732.3286639843,646724.75,0.06509809195995331,3285658.612,4120193.0,0.41473084688186646,12486847.0,15658419.0,1.5761469602584839,1317256.25,1651830.125,0.16627010703086853,1567176.1677223234,1965228.0,0.1978161484003067,416974.14268758614,522882.65625,0.05263238027691841,4449344,5579446.0,0.5616164803504944,3703393,4644029.0,0.46745920181274414,0,0,0,0.0,0.0,0.0,6190362,7762670.5,0.7813757658004761,2934940,3680394.25,0.3704615533351898,8339430.0,10457587.0,1.0526409149169922,11132328,13959861.0,1.4051733016967773,28309848.0,35500352.0,3.5733983516693115,4436306,5563096.5,0.5599707961082458,988028,1238980.25,0.12471341341733932,3275908,4107965.75,0.4135000705718994
Colorado,5371670,6736036.5,5.558849811553955,1089053,1365664.875,1.1270018815994263,161239,202192.578125,0.1668574959039688,109064,136765.5,0.1128644272685051,174713.314,219089.265625,0.18080133199691772,40954.064602693084,51356.109375,0.04238114133477211,65377.6,81983.0546875,0.06765573471784592,913586.375,1145630.875,0.9454209804534912,131529.65625,164937.265625,0.13611291348934174,206115.68221228902,258467.625,0.21329794824123383,36630.4452,45934.3203125,0.03790685907006264,439816,551526.1875,0.45514172315597534,533245,668685.5,0.5518263578414917,0,0,0,0.0,0.0,0.0,568098,712390.9375,0.5878938436508179,472342,592313.5625,0.48880112171173096,745013.8125,934242.125,0.7709743976593018,973080,1220235.5,1.0069876909255981,2662612.25,3338897.0,2.7553930282592773,469037,588169.125,0.48538097739219666,182728,229139.625,0.18909528851509094,718817,901391.5,0.7438647747039795
Connecticut,5891958,7388474.0,8.238846778869629,901079,1129946.75,1.2599973678588867,142947,179254.53125,0.19988574087619781,178254,223529.265625,0.24925625324249268,85784.175,107572.7578125,0.11995378881692886,39940.690002888856,50085.34375,0.055849891155958176,126194.003,158246.390625,0.1764596700668335,1069414.0,1341037.625,1.495383620262146,85728.171875,107502.5234375,0.119875468313694,181171.5923329682,227187.90625,0.25333598256111145,37474.32168,46992.53515625,0.052401117980480194,273379,342815.34375,0.38227149844169617,404366,507072.125,0.5654333233833313,0,0,0,0.0,0.0,0.0,752114,943145.6875,1.051696538925171,36496,45765.7265625,0.05103310942649841,632139.8125,792698.875,0.8839341402053833,674033,845232.6875,0.9425143003463745,3374543.25,4231653.5,4.718693256378174,517856,649387.8125,0.724128782749176,121296,152104.328125,0.16961069405078888,243709,305609.375,0.34078332781791687
Delaware,1175147,1473626.125,6.945955276489258,266231,333851.8125,1.5736147165298462,64620,81033.03125,0.3819502294063568,80538,100994.0859375,0.4760369062423706,21968.991,27548.9609375,0.12985238432884216,12770.909,16014.630859375,0.07548516243696213,20422.256,25609.365234375,0.12071006745100021,190891.75,239376.921875,1.1283061504364014,29119.15234375,36515.21484375,0.17211492359638214,54836.10516475568,68764.09375,0.324120432138443,17536.848719999998,21991.0859375,0.10365526378154755,101460,127230.1328125,0.5997008681297302,99709,125034.390625,0.5893511772155762,0,0,0,0.0,0.0,0.0,121095,151852.28125,0.7157576680183411,6157,7720.8349609375,0.03639225289225578,229619.4375,287941.15625,1.357214331626892,282567,354337.03125,1.670172095298767,590524.5625,740513.6875,3.4904205799102783,106716,133821.109375,0.6307675242424011,21498,26958.341796875,0.12706848978996277,49754,62391.16796875,0.29408156871795654
District of Columbia,1142971,1433277.625,12.073875427246094,73418,92065.65625,0.7755575180053711,0,0.0,0.0,0,0.0,0.0,23118.581,28990.5390625,0.24421517550945282,10660.599808396548,13368.3173828125,0.11261418461799622,69662.385,87356.140625,0.7358847260475159,449106.625,563176.5625,4.744177341461182,45926.14453125,57591.0625,0.48514488339424133,23466.926379897846,29427.361328125,0.24789494276046753,25238.228400000004,31648.5625,0.26660627126693726,86465,108426.5078125,0.9133806824684143,34149,42822.60546875,0.3607359528541565,0,0,0,19454.625,24395.962890625,0.20551064610481262,103852,130229.6796875,1.0970497131347656,0,0.0,0.0,268355.5625,336516.0,2.8347976207733154,446185,559512.875,4.713314533233643,1060433.5,1329776.125,11.201982498168945,267994,336062.59375,2.8309781551361084,27990,35099.265625,0.2956748604774475,73234,91834.921875,0.7736138105392456
Florida,17109014,21454584.0,5.212713241577148,3500441,4389528.5,1.0665018558502197,1077129,1350712.25,0.328175812959671,193593,242764.265625,0.058983221650123596,749531.492,939907.25,0.22836457192897797,168719.9375743199,211573.625,0.051404986530542374,239455.744,300275.8125,0.07295651733875275,2786998.25,3494876.25,0.8491326570510864,574652.75,720610.5,0.17508313059806824,1009502.0809303564,1265908.5,0.3075714707374573,459473.48136000003,576176.5,0.13999073207378387,2934123,3679369.75,0.8939580917358398,1613941,2023870.75,0.4917297661304474,0,0,0,0.0,0.0,0.0,1259978,1580003.625,0.38388559222221375,115763,145165.984375,0.03527025505900383,3493769.25,4381162.0,1.0644690990447998,3438967,4312440.5,1.0477721691131592,14371274.0,18021476.0,4.3785881996154785,1190145,1492433.5,0.3626091182231903,374343,469423.5,0.11405348777770996,1566655,1964574.375,0.4773228168487549
Georgia,11445101,14352077.0,5.894493103027344,2187836,2743531.0,1.1267863512039185,731277,917016.25,0.3766246438026428,486664,610273.25,0.2506432831287384,354729.866,444828.78125,0.18269412219524384,154280.65609256458,193466.859375,0.07945812493562698,162422.024,203676.078125,0.0836511179804802,1011925.0,1268946.875,0.5211648941040039,472993.21875,593130.1875,0.24360249936580658,519931.13971292885,651990.0,0.26777660846710205,184173.16248,230951.859375,0.0948534607887268,1732097,2172037.5,0.8920701742172241,954170,1196522.5,0.4914197325706482,0,0,0,0.0,0.0,0.0,793647,995227.75,0.4087466299533844,0,0.0,0.0,2358294.0,2957284.25,1.214576244354248,1591757,1996052.125,0.819791853427887,8340582.0,10459031.0,4.29559326171875,650082,815198.25,0.3348073363304138,123807,155253.109375,0.06376348435878754,472474,592479.0625,0.2433350831270218
Hawaii,1568029,1966297.375,6.259840965270996,542956,680863.0,2.1675734519958496,27984,35091.73828125,0.11171692609786987,14102,17683.80859375,0.05629760026931763,36582.249,45873.8828125,0.1460426151752472,22664.976,28421.720703125,0.09048247337341309,87270.088,109436.078125,0.3483971655368805,325307.90625,407933.84375,1.2986849546432495,64670.81640625,81096.75,0.2581769824028015,60957.02024148687,76439.6796875,0.24335089325904846,8107.90416,10167.2548828125,0.032368145883083344,141483,177418.6875,0.5648244023323059,140861,176638.703125,0.5623412728309631,0,0,0,0.0,0.0,0.0,136619,171319.265625,0.5454064607620239,18951,23764.421875,0.07565564662218094,216611.546875,271629.375,0.8647505044937134,420486,527286.5,1.678652286529541,977006.4375,1225159.25,3.9003775119781494,137783,172778.921875,0.5500534176826477,21756,27281.87109375,0.08685368299484253,149792,187838.125,0.597995400428772
Idaho,1492662,1871787.75,4.594573020935059,364502,457082.96875,1.1219761371612549,41767,52375.52734375,0.1285632848739624,52256,65528.65625,0.16084954142570496,82751.734,103770.09375,0.2547186613082886,14394.408801916123,18050.48828125,0.04430752992630005,7231.018,9067.6455078125,0.022257843986153603,258804.984375,324539.625,0.7966293692588806,47942.1484375,60119.1171875,0.14757104218006134,71966.14726054404,90245.046875,0.22151948511600494,21251.39328,26649.09765625,0.06541405618190765,179113,224606.453125,0.5513289570808411,171183,214662.28125,0.5269195437431335,0,0,0,0.0,0.0,0.0,174261,218522.078125,0.5363940000534058,106076,133018.5625,0.32651326060295105,303432.125,380501.75,0.9339964389801025,170772,214146.890625,0.5256544351577759,1156631.875,1450408.25,3.5602364540100098,38712,48544.578125,0.11915967613458633,33540,42058.92578125,0.10323970019817352,81313,101965.9296875,0.2502900958061218
Illinois,16612597,20832080.0,6.139533042907715,3563485,4468585.0,1.3169604539871216,743976,932940.6875,0.27495190501213074,758543,951207.625,0.2803354561328888,484633.56,607727.0625,0.1791064739227295,202709.03129519158,254195.703125,0.07491536438465118,110438.56,138489.1875,0.04081488400697708,4159926.5,5216518.5,1.5373878479003906,593567.375,744329.3125,0.21936523914337158,675983.3950840388,847678.4375,0.24982380867004395,259970.66748,326001.40625,0.09607760608196259,1576538,1976967.625,0.5826426148414612,1485773,1863148.875,0.5490984916687012,0,0,0,70926.6796875,88941.5625,0.02621244080364704,2580942,3236483.25,0.9538411498069763,11726,14704.322265625,0.004333588760346174,2180005.25,2733711.25,0.8056665658950806,3091868,3877180.75,1.1426645517349243,7082818.0,8881804.0,2.6176035404205322,1536469,1926721.375,0.5678343176841736,541376,678881.6875,0.20007683336734772,1764948,2213232.5,0.6522735357284546
Indiana,7600746,9531282.0,5.682501316070557,1247611,1564495.5,0.9327441453933716,452244,567110.8125,0.33810853958129883,237664,298029.0,0.17768335342407227,236832.748,296986.59375,0.17706187069416046,82755.6195305444,103774.96875,0.06187010183930397,121920.69,152887.6875,0.09115085005760193,1438466.25,1803826.625,1.0754321813583374,275299.8125,345224.03125,0.20582078397274017,348610.0803618059,437154.59375,0.2606293261051178,116333.865,145881.859375,0.08697400987148285,756647,948830.0625,0.5656875967979431,812066,1018325.0625,0.607120156288147,0,0,0,44078.546875,55274.1875,0.03295418620109558,663524,832054.4375,0.4960665702819824,2822,3538.768310546875,0.002109795343130827,1290228.375,1617937.375,0.9646059274673462,709745,890015.25,0.5306224822998047,5238770.5,6569381.5,3.9166314601898193,571452,716596.8125,0.4272313117980957,260658,326863.3125,0.19487422704696655,350552,439589.75,0.2620811462402344
Iowa,3571774,4478979.5,5.8684916496276855,987325,1238098.625,1.622193455696106,183715,230377.328125,0.3018471896648407,138154,173244.15625,0.22698962688446045,136215.715,170813.546875,0.22380496561527252,47814.90370269716,59959.5546875,0.07856078445911407,79837.153,100115.234375,0.13117393851280212,635695.875,797158.1875,1.0444602966308594,83758.8125,105032.9609375,0.137617290019989,133806.74086098044,167792.71875,0.21984699368476868,36901.296,46273.96484375,0.06062952056527138,279607,350625.21875,0.459399551153183,378980,475238.28125,0.6226712465286255,0,0,0,8900.0,11160.5380859375,0.014622867107391357,372295,466855.3125,0.6116876602172852,1291,1618.9049072265625,0.002121137222275138,589012.0,738616.9375,0.9677577614784241,367783,461197.3125,0.6042743921279907,3352180.0,4203610.0,5.507694244384766,135054,169356.765625,0.2218962460756302,89039,111654.28125,0.14629274606704712,194475,243870.28125,0.3195260763168335
Kansas,3299811,4137940.0,5.538958549499512,1023151,1283024.25,1.7174290418624878,84349,105773.0546875,0.141585573554039,87603,109853.546875,0.14704762399196625,120521.844,151133.546875,0.2023041546344757,32544.548181892456,40810.63671875,0.05462825298309326,60973.716,76460.609375,0.10234855115413666,881714.3125,1105663.625,1.480017900466919,75216.109375,94320.4765625,0.12625539302825928,136335.35572209812,170963.578125,0.22884821891784668,39270.878280000004,49245.40625,0.06591885536909103,306000,383721.84375,0.513641893863678,340578,427082.4375,0.5716834664344788,0,0,0,45091.13671875,56543.96875,0.07568855583667755,374538,469668.03125,0.6286876797676086,2999,3760.72509765625,0.005034026689827442,552650.625,693020.0,0.9276618361473083,466280,584711.875,0.7826828956604004,1590785.375,1994833.75,2.6702420711517334,127284,159613.25,0.21365490555763245,80259,100644.2265625,0.13472022116184235,176157,220899.640625,0.295691579580307
Kentucky,3951198,4954774.5,4.695093631744385,1252940,1571178.0,1.4888322353363037,431993,541716.1875,0.5133247375488281,223033,279681.8125,0.2650236189365387,202855.323,254379.15625,0.24104708433151245,71617.92404411673,89808.375,0.08510149270296097,106055.259,132992.546875,0.1260223686695099,917844.75,1150970.875,1.0906481742858887,236636.21875,296740.15625,0.28118792176246643,287827.8472156521,360934.09375,0.34201744198799133,155461.335,194947.421875,0.1847301870584488,608967,763640.375,0.7236177921295166,444749,557712.125,0.5284823179244995,0,0,0,0.0,0.0,0.0,497433,623777.5,0.5910851955413818,80500,100946.4375,0.09565581381320953,1239626.25,1554482.625,1.47301185131073,567123,711168.25,0.6738957762718201,3892158.75,4880740.0,4.624939441680908,281017,352393.34375,0.3339243233203888,85113,106731.109375,0.10113730281591415,214739,269281.1875,0.2551681101322174
