county_code,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,expulsions_no_ed_serv,expulsions_with_ed_serv,expulsions_zero_tolerance,students_corporal_punish,students_arrested,students_referred_law_enforce,exp_current_supp_serve_total,exp_current_other,exp_current_food_serv,enrollment_fall_responsible,enrollment_fall_school,salaries_total,rev_fed_total,salaries_food_service,benefits_supp_sch_admin,exp_current_sch_admin,rev_fed_child_nutrition_act,salaries_supp_bco,rev_total,exp_current_elsec_total,salaries_teachers_regular_prog,rev_state_total,exp_total,salaries_supp_sch_admin,exp_current_bco,rev_state_gen_formula_assist,salaries_supp_operation_plant,exp_current_operation_plant,salaries_instruction,rev_fed_state_title_i,exp_current_instruction_total,rev_fed_state_idea,benefits_employee_total,benefits_supp_bco,debt_longterm_outstand_beg_fy,debt_longterm_outstand_end_fy,rev_local_total,benefits_supp_operation_plant,rev_fed_nonspec,payments_private_schools,salaries_teachers_vocational,payments_charter_schools,rev_state_bilingual_ed,rev_state_gifted_talented,exp_utilities_energy,rev_state_vocational_ed,rev_local_dist_activ_receipts,assets_sinking_fund,incar_rate
27015,764.0,398.0,318.0,0.0,32.0,0.0,0.0,0.0,96.0,11317000,1729000,1729000,3395,3482,23464000,3159000.0,314000,428000.0,1629000,793000,473000.0,50597000.0,41168000,9647000,32526000.0,77301000,1158000,1150000.0,23765000.0,757000,2586000,17872000,401000,28122000,1328000,8737000,191000.0,65100000,63336000,14912000,298000,0,0.0,488000,0.0,0,0,0,0,471000,2199000,0.004047628481990728
27017,1730.0,1100.0,162.0,0.0,0.0,0.0,0.0,12.0,222.0,19227000,2834000,2834000,6547,6408,43047000,3844000.0,934000,744000.0,2897000,1230000,566000.0,82763000.0,67202000,19805000,59581000.0,97184000,2088000,1666000.0,45788000.0,1788000,4869000,30436000,753000,45141000,1052000,13219000,210000.0,150650000,151219000,19338000,599000,0,0.0,485000,0.0,0,0,0,70000,299000,4689000,0.0069034371734402805
27019,1406.0,1026.0,258.0,0.0,12.0,96.0,0.0,0.0,252.0,56027000,8638000,8638000,16874,16817,118123000,6250000.0,2787000,1153000.0,6833000,2058000,1197000.0,233792000.0,177916000,50781000,145157000.0,252483000,5547000,2694000.0,113109000.0,4871000,13955000,81066000,567000,113251000,2924000,33591000,396000.0,488321000,529817000,82385000,1557000,0,0.0,1329000,0.0,0,0,0,101000,511000,96069000,0.0005836670553049121
27021,812.0,662.0,422.0,0.0,12.0,0.0,0.0,12.0,36.0,16904000,2649000,2649000,4327,4300,32542000,9606000.0,741000,439000.0,2376000,1817000,505000.0,67228000.0,54624000,13842000,44195000.0,68022000,1646000,1693000.0,28337000.0,1442000,4175000,22618000,1350000,35071000,308000,9122000,219000.0,83937000,104550000,13427000,422000,0,0.0,441000,0.0,0,0,0,12000,189000,6717000,0.01509777948199533
27023,210.0,168.0,68.0,0.0,0.0,0.0,0.0,12.0,24.0,8280000,1324000,1324000,2014,2102,15277000,1779000.0,391000,376000.0,1582000,703000,209000.0,31653000.0,25530000,6601000,21251000.0,31491000,1138000,695000.0,15941000.0,829000,1928000,10926000,140000,15926000,478000,4125000,147000.0,19126000,19869000,8623000,233000,0,0.0,229000,0.0,0,0,0,27000,131000,3683000,0.01807899312743231
27025,2770.0,638.0,356.0,12.0,0.0,12.0,0.0,66.0,290.0,25568000,3624000,3624000,7513,7293,51920000,4150000.0,699000,775000.0,3395000,1172000,1003000.0,101919000.0,84966000,18815000,68367000.0,99649000,2538000,2462000.0,48612000.0,2443000,6694000,36512000,497000,55774000,1897000,17886000,454000.0,58516000,51279000,29402000,913000,0,0.0,1174000,0.0,0,0,0,142000,259000,5303000,0.0029499380925101177
27027,624.0,982.0,372.0,56.0,12.0,0.0,0.0,12.0,528.0,28163000,4841000,4841000,10180,10151,65794000,5901000.0,1280000,787000.0,4000000,2071000,971000.0,124962000.0,101235000,29761000,94194000.0,125576000,3201000,2123000.0,71447000.0,2601000,7132000,49395000,1259000,68231000,1849000,17662000,254000.0,70190000,145262000,24867000,492000,0,0.0,1050000,0.0,0,0,0,107000,501000,7339000,0.005046181572426222
27029,660.0,228.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,5379000,906000,906000,1457,1454,9318000,1495000.0,297000,124000.0,707000,489000,187000.0,19838000.0,15998000,4448000,14572000.0,20053000,562000,594000.0,10425000.0,658000,1693000,6176000,391000,9713000,0,2190000,37000.0,16493000,15164000,3771000,144000,0,0.0,96000,0.0,0,0,0,23000,98000,1029000,0.047924056389267854
27031,300.0,78.0,60.0,0.0,0.0,0.0,0.0,0.0,36.0,2642000,269000,269000,580,577,5123000,788000.0,69000,64000.0,295000,114000,139000.0,10847000.0,7873000,1966000,6424000.0,10254000,225000,393000.0,4875000.0,185000,642000,3484000,105000,4962000,31000,1268000,54000.0,5569000,7713000,3635000,60000,0,0.0,70000,0.0,0,0,0,0,15000,3376000,0.03522570772762051
27033,498.0,158.0,12.0,0.0,0.0,0.0,0.0,0.0,40.0,7941000,1282000,1282000,1944,1935,14468000,1475000.0,297000,369000.0,1294000,699000,301000.0,27808000.0,24110000,6114000,19499000.0,29700000,893000,717000.0,14929000.0,763000,2257000,9856000,360000,14887000,0,4292000,102000.0,10387000,7537000,6834000,215000,0,0.0,354000,0.0,0,0,0,1000,278000,796000,0.02522930159285839
